ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
69	Barnesiella	0.4328667072428484	3.193356779573886E-5	2.5845359053041505E-4	0.002900660499087033	+	0.0	0.0
77	Odoribacter	0.39360925136944563	2.1049412405882428E-4	8.975543539074899E-5	-5.808646378575771E-4	-	0.0	0.0
45	Escherichia	0.37401095556908054	5.268193700739277E-4	1.0E-12	-1.498041996348145E-4	-	0.0	0.0
23	Christensenella	0.37212416311625035	5.712675926528021E-4	3.4349091954589267E-9	-1.4807370663420596E-4	-	0.0	0.0
111	Cronobacter	0.3672550213024952	7.26659306559907E-4	0.0038040303428835795	-0.030150953804017035	-	0.0	0.0
19	Dialister	0.3649421789409612	7.867084626782539E-4	3.5652241291045795E-5	-0.0034366628119293996	-	0.0	0.0
38	Holdemania	0.3513694461351183	0.0013562214118040261	0.07895905332269586	-3.7279914790018265E-5	-	0.0	0.0
29	Faecalibacterium	0.3442483262325017	0.0018351063913618626	0.012835574118674996	0.029178279184418746	+	0.0	0.0
30	Anaerotruncus	0.3364576993304926	0.0024672457750715138	8.540801840684616E-6	-0.002342101765063909	-	0.0	0.0
44	Finegoldia	0.30742544126597693	0.007561748189787165	0.23221792673709096	1.5107662811929395E-4	+	0.0	0.0
22	Enterorhabdus	0.2996956786366404	0.00984636488848667	0.054376042719511714	3.0375715155203896E-5	+	0.0	0.0
8	Dorea	0.28539257455873424	0.01637739303604946	0.01582493818876687	0.004821290444309191	+	0.0	0.0
6	Phascolarctobacterium	0.2827145465611683	0.018524638650024072	0.02591933045526961	-0.001694918076688989	-	0.0	0.0
68	Flavonifractor	0.28198417528910547	0.018524638650024072	0.1505657627371847	2.3673524041387597E-5	+	0.0	0.0
99	Fusobacterium	0.2746195982958002	0.023587120444669263	3.237276372232914E-5	-6.689331710286053E-4	-	0.0	0.0
110	Enterococcus	0.2700547778454044	0.02655186844090507	0.09001115345883656	-1.7086914181375526E-5	-	0.0	0.0
109	Flavobacterium	0.265124771758977	0.03161711249804333	0.2100902120660797	-5.0268167985392585E-5	-	0.0	0.0
33	Anaerostipes	0.2628727936701156	0.03348500632827334	0.011159393714308652	0.008886799695678634	+	0.0	0.0
104	Thiothrix	0.262751065124772	0.03348500632827334	0.37921597298409726	2.4824041387705476E-5	+	0.0	0.0
16	Veillonella	0.2597078514911744	0.03751331214705478	0.0018830138927637217	-1.9769275715155227E-4	-	0.0	0.0
108	Olsenella	0.25349969567863684	0.04434906187152354	0.04176545184102898	1.703298843578817E-5	+	0.0	0.0
118	Citrobacter	0.2504564820450393	0.049485876755377856	0.45194131391933434	-8.923371880706021E-6	-	0.0	0.0
97	Anaerofilum	0.24589166159464348	0.05512930985938025	0.4489069614666529	-7.1686548995739525E-6	-	0.0	0.0
93	Oscillospira	0.23931832014607396	0.06809222184476627	0.9587637388744051	-6.465489957394846E-6	-	0.0	0.0
72	Roseburia	0.23804017041996373	0.07171187496044906	0.0631577849844125	0.007568099878271464	+	0.0	0.0
86	Moryella	0.23268411442483217	0.08356539482936787	0.41658818439553125	-6.945380401704188E-5	-	0.0	0.0
3	Hydrogenoanaerobacterium	0.2317711503347536	0.08356539482936787	0.21383316655247242	2.664144856968963E-5	+	0.0	0.0
73	Lachnospira	0.2312233718807058	0.08356539482936787	0.0051832578325982865	-0.005945584053560549	-	0.0	0.0
103	Johnsonella	0.2291539866098602	0.08786641394169104	0.05241130147673332	1.3661046865489964E-5	+	0.0	0.0
59	Sutterella	0.22726719415703	0.09702689759522087	0.11697304176244472	7.014547778454038E-4	+	0.0	0.0
74	Thalassospira	0.22690200852099804	0.09702689759522087	0.1250270633211441	-0.0023807608642726734	-	0.0	0.0
76	Acetitomaculum	0.22440657334144826	0.10189777916606357	0.12732024339769976	-2.401077906269023E-4	-	0.0	0.0
50	Serratia	0.22288496652464967	0.10697010207551338	0.3429947231780853	0.005522371332927573	+	0.0	0.0
43	Peptococcus	0.22172854534388264	0.11224966667072489	0.057742771820555275	-2.6511625076080297E-5	-	0.0	0.0
7	Victivallis	0.21984175289105246	0.11774229287977167	0.04021404184347746	-4.38114424832624E-5	-	0.0	0.0
20	Pantoea	0.21728545343883165	0.12345380942976569	0.168111433131946	0.0019464295800365183	+	0.0	0.0
96	Haemophilus	0.2139987827145461	0.13555680155217875	0.16092387803200459	-7.690505173463185E-6	-	0.0	0.0
