ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
23	Christensenella	0.414920634920635	1.8037586840713438E-5	1.0E-12	-1.568815873015873E-4	-	0.0	0.0
29	Faecalibacterium	0.39650793650793276	4.636096059162931E-5	2.5615569622456676E-4	0.03737450111111111	+	0.0	0.0
38	Holdemania	0.39301587301587254	5.57266082051866E-5	0.01616223979929893	-4.546349206349207E-5	-	0.0	0.0
93	Oscillospira	0.32873015873015826	0.0013562214118040261	0.21525647252286273	-1.2165031746031753E-4	-	0.0	0.0
69	Barnesiella	0.3173015873015849	0.002129532470765305	0.0047537216147135256	0.0020143671428571428	+	0.0	0.0
19	Dialister	0.3080952380952375	0.003295976410675472	8.43195613287446E-5	-0.003112000793650795	-	0.0	0.0
97	Anaerofilum	0.2980952380952379	0.0046912658337897595	0.3207398140967398	-9.236190476190509E-6	-	0.0	0.0
43	Peptococcus	0.27746031746031974	0.010507636878161919	5.6676826563474015E-5	-4.306174603174603E-5	-	0.0	0.0
30	Anaerotruncus	0.27142857142857235	0.013573266327194133	7.109256995156811E-5	-0.001991142857142857	-	0.0	0.0
101	Herbaspirillum	0.2650793650793644	0.017421442909155482	0.530273364362166	-1.0390396825396824E-4	-	0.0	0.0
6	Phascolarctobacterium	0.26063492063492016	0.019689815164885327	0.03290094151015699	-0.0016464422222222186	-	0.0	0.0
45	Escherichia	0.2507936507936538	0.028154288002759542	0.07867424126840622	-8.009047619047621E-5	-	0.0	0.0
44	Finegoldia	0.24428571428571083	0.03544906548412807	0.08111335063101612	2.2935301587301575E-4	+	0.0	0.0
16	Veillonella	0.2401587301587298	0.03968187953811442	0.00923760044792815	-1.682326984126984E-4	-	0.0	0.0
79	Gordonibacter	0.23968253968253916	0.03968187953811442	0.051385739082664666	-1.131174603174601E-5	-	0.0	0.0
47	Oscillibacter	0.23952380952380903	0.03968187953811442	1.9624273969159902E-4	-4.750912698412695E-4	-	0.0	0.0
77	Odoribacter	0.2384126984126977	0.04195901150969816	0.0011095136479882472	-4.468858730158733E-4	-	0.0	0.0
20	Pantoea	0.2341269841269839	0.049485876755377856	0.2185306738732964	0.0016025690476190453	+	0.0	0.0
7	Victivallis	0.23333333333333528	0.049485876755377856	0.15582592476091894	-3.7467777777777674E-5	-	0.0	0.0
53	Pseudobutyrivibrio	0.23079365079364245	0.05512930985938025	0.018273604962382953	0.007089558412698411	+	0.0	0.0
88	Gardnerella	0.2303174603174616	0.05512930985938025	0.13257678443334775	-5.286079365079372E-5	-	0.0	0.0
111	Cronobacter	0.22999999999999987	0.05512930985938025	0.04943800829761838	-0.018902812063492057	-	0.0	0.0
8	Dorea	0.2258730158730069	0.06131801227961475	0.04510604182821222	0.0035036739682539654	+	0.0	0.0
103	Johnsonella	0.21888888888888314	0.0754936590672104	0.045773528967016266	1.336793650793652E-5	+	0.0	0.0
32	Alistipes	0.2179365079365141	0.07944299920064735	0.019766865228771437	-0.0012993693650793624	-	0.0	0.0
59	Sutterella	0.2153968253968212	0.08356539482936787	0.16262291683618035	5.431482539682536E-4	+	0.0	0.0
22	Enterorhabdus	0.214126984126983	0.08786641394169104	0.14519917716617425	2.043793650793651E-5	+	0.0	0.0
72	Roseburia	0.213333333333333	0.09235168655233272	0.06300017221831097	0.007339961111111095	+	0.0	0.0
119	Chromobacterium	0.21285714285714308	0.09235168655233272	0.22383338265691077	-5.906031746031733E-6	-	0.0	0.0
76	Acetitomaculum	0.2114285714285714	0.09702689759522087	0.022528973924412606	-2.87317619047618E-4	-	0.0	0.0
75	Pectobacterium	0.21031746031746035	0.09702689759522087	0.5519658043253362	-8.028428571428504E-4	-	0.0	0.0
33	Anaerostipes	0.20984126984127072	0.10189777916606357	0.051633437665992855	0.006046338412698421	+	0.0	0.0
4	Granulicatella	0.20650793650792654	0.11224966667072489	0.03528588606622435	3.6536666666666686E-5	+	0.0	0.0
104	Thiothrix	0.20301587301586466	0.12345380942976569	0.5384768210062632	1.5179047619047626E-5	+	0.0	0.0
86	Moryella	0.20285714285714562	0.12345380942976569	0.07343644311768757	-1.1736412698412676E-4	-	0.0	0.0
5	Coprococcus	0.19999999999999096	0.1293900421856189	0.05162321914532005	0.002599355079365071	+	0.0	0.0
90	Oribacterium	0.19825396825396452	0.13555680155217875	0.22815895202576375	6.768095238095249E-6	+	0.0	0.0
87	Actinomyces	0.19603174603174672	0.14860498179427883	0.6469788905236348	-3.031746031746008E-6	-	0.0	0.0
37	Coprobacillus	0.19126984126984076	0.1626439803391253	0.44073774799308063	2.1211746031746075E-5	+	0.0	0.0
