ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
23	Christensenella	0.3735928705440922	4.636096059162931E-5	9.066058736182675E-9	-1.3946055347091943E-4	-	0.0	0.0
38	Holdemania	0.36519699812382933	7.321920416358818E-5	0.032429161970778865	-3.98251876172607E-5	-	0.0	0.0
19	Dialister	0.34394934333958893	2.2926023105662718E-4	1.6808248463229212E-4	-0.0030773458724202593	-	0.0	0.0
74	Thalassospira	0.25792682926829424	0.011952043239196741	0.0035024992114318877	-0.00346623156660413	-	0.0	0.0
54	Blautia	0.23963414634146052	0.025030635614156416	0.01647539139898775	0.011092900515947433	+	0.0	0.0
44	Finegoldia	0.23808630393996083	0.02655186844090507	0.32602556676948613	9.565295497185745E-5	+	0.0	0.0
30	Anaerotruncus	0.2368667917448425	0.02655186844090507	1.831801284772557E-4	-0.0019008338180112592	-	0.0	0.0
7	Victivallis	0.2305816135084452	0.03348500632827334	0.010868801546203424	-5.921712007504695E-5	-	0.0	0.0
95	Bifidobacterium	0.22767354596623013	0.03751331214705478	0.9346409342753036	9.070872420262896E-6	+	0.0	0.0
45	Escherichia	0.2264540337711084	0.03968187953811442	0.7091373277760493	-1.9896998123827527E-5	-	0.0	0.0
8	Dorea	0.22354596622889	0.04434906187152354	0.024905609390196506	0.0034472385553470973	+	0.0	0.0
82	Sporobacter	0.21885553470919505	0.052241888564704686	0.0651914463721903	-1.4113414634146359E-5	-	0.0	0.0
93	Oscillospira	0.21421200750469171	0.05815302364097896	0.05442049129270545	-1.5115436210131353E-4	-	0.0	0.0
76	Acetitomaculum	0.2139305816135088	0.06131801227961475	0.0014473632919235224	-3.650535178236406E-4	-	0.0	0.0
79	Gordonibacter	0.20914634146341615	0.07171187496044906	0.0449348671119026	-1.1163227016885553E-5	-	0.0	0.0
72	Roseburia	0.20802063789868533	0.07171187496044906	0.1910763738857264	0.0038004428705440893	+	0.0	0.0
91	Erysipelatoclostridium	0.2060037523452175	0.07944299920064735	1.2029696457828862E-4	-2.9317448405253328E-5	-	0.0	0.0
47	Oscillibacter	0.20478424015009578	0.07944299920064735	5.091334289219024E-4	-4.0000830206379095E-4	-	0.0	0.0
