ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
66	Bacteroides	0.6026666666666608	1.5238087458513405E-9	1.6266174211523797E-6	0.08455452000000001	+	0.0	0.0
37	Coprobacillus	0.5239999999999927	2.475501079679532E-7	9.499169092095649E-5	0.0015865573333333329	+	0.0	0.0
11	Peptostreptococcus	0.49999999999999417	1.037130472725245E-6	3.393184173138764E-5	0.01369292666666667	+	0.0	0.0
93	Varibaculum	0.4986666666666591	1.1547198245365209E-6	3.521933925430641E-5	3.263546666666665E-4	+	0.0	0.0
44	Finegoldia	0.49333333333333396	1.5898787228962874E-6	0.16260875374620765	1.5847333333333344E-4	+	0.0	0.0
27	Gemella	0.4826666666666613	2.6876245550200295E-6	6.073039955040308E-5	0.005532909333333334	+	0.0	0.0
63	Parvimonas	0.4693333333333292	5.511615302378203E-6	0.20248291852532985	1.4451599999999954E-4	+	0.0	0.0
108	Porphyromonas	0.4479999999999983	1.8037586840713438E-5	0.022376386168156088	2.0357333333333343E-5	+	0.0	0.0
59	Sutterella	0.4373333333333292	3.193356779573886E-5	2.564023135729749E-4	0.0016146093333333329	+	0.0	0.0
69	Barnesiella	0.4360000000000004	3.193356779573886E-5	1.2969063640028882E-4	0.0029628106666666695	+	0.0	0.0
76	Acetitomaculum	0.4306666666666665	4.226070686097483E-5	1.6387150144982548E-11	-5.691480000000001E-4	-	0.0	0.0
35	Clostridium	0.4266666666666637	5.083869303257327E-5	0.024905813885394208	0.016508840000000007	+	0.0	0.0
89	Eikenella	0.41466666666666224	9.585702309422572E-5	1.6061932822170394E-4	5.262693333333333E-4	+	0.0	0.0
17	Campylobacter	0.40799999999999037	1.2504300754978548E-4	2.043665459262124E-4	8.2424E-5	+	0.0	0.0
100	Fusobacterium	0.3973333333333258	2.1049412405882428E-4	5.501445174211295E-4	0.003145018666666667	+	0.0	0.0
78	Mannheimia	0.3679999999999933	7.867084626782539E-4	0.5056620655178334	2.622760000000012E-4	+	0.0	0.0
62	Corynebacterium	0.34533333333333616	0.00197724103943675	0.22531526789548784	1.6716266666666666E-4	+	0.0	0.0
60	Peptoniphilus	0.3440000000000023	0.002129532470765305	0.07728419635207981	2.8258399999999995E-4	+	0.0	0.0
9	Desulfosporosinus	0.3426666666666579	0.002129532470765305	0.0012079067614554743	3.280799999999999E-5	+	0.0	0.0
61	Adlercreutzia	0.3373333333333337	0.002654091621098642	0.5742709137136441	-6.358799999999957E-5	-	0.0	0.0
86	Moryella	0.3359999999999932	0.002853945596376972	0.009602202830608097	2.7883466666666636E-4	+	0.0	0.0
3	Hydrogenoanaerobacterium	0.33466666666666084	0.003067621347579763	0.0010554547983543563	1.2410666666666663E-4	+	0.0	0.0
29	Faecalibacterium	0.32933333333333387	0.003800385286136132	0.003602973034982774	0.032568585333333386	+	0.0	0.0
55	Morganella	0.3266666666666664	0.00407839060510129	0.22939578277662365	-0.001118042666666669	-	0.0	0.0
52	Bilophila	0.3013333333333346	0.010507636878161919	0.004172654866681751	6.245586666666669E-4	+	0.0	0.0
85	Sporomusa	0.29999999999999327	0.010507636878161919	0.8264444022638604	-3.35999999999999E-7	-	0.0	0.0
20	Pantoea	0.28666666666666746	0.017421442909155482	0.21852608112032834	0.0018234306666666672	+	0.0	0.0
54	Blautia	0.28266666666666845	0.019689815164885327	0.004402895567110653	0.017329994666666647	+	0.0	0.0
120	Citrobacter	0.28	0.0209199095402387	0.012448772966195504	-1.9227999999999986E-5	-	0.0	0.0
8	Dorea	0.27066666666666434	0.028154288002759542	0.06779663294213359	0.003048092000000003	+	0.0	0.0
111	Flavobacterium	0.26266666666666716	0.03544906548412807	1.0E-12	-7.705199999999991E-5	-	0.0	0.0
101	Megasphaera	0.25866666666666643	0.04195901150969816	0.4747976644879627	3.7361333333333073E-5	+	0.0	0.0
113	Cronobacter	0.2586666666666643	0.04195901150969816	0.030737047121043613	-0.021240320000000035	-	0.0	0.0
57	Salmonella	0.25733333333333197	0.04195901150969816	0.13177036568696787	-9.665733333333388E-5	-	0.0	0.0
42	Enterobacter	0.25200000000000244	0.049485876755377856	0.903515618298138	1.757586666666696E-4	+	0.0	0.0
125	Anaerococcus	0.25200000000000083	0.049485876755377856	0.05829569060125644	3.3080666666666664E-4	+	0.0	0.0
12	Sarcina	0.2519999999999999	0.049485876755377856	0.9670012178589911	-1.1746666666667812E-5	-	0.0	0.0
7	Victivallis	0.25066666666666915	0.052241888564704686	0.2518099152748252	3.790400000000001E-5	+	0.0	0.0
51	Shigella	0.2466666666666671	0.05815302364097896	8.408555891944778E-12	-3.358E-5	-	0.0	0.0
23	Christensenella	0.24533333333333343	0.06131801227961475	0.3855248199113145	-5.756799999999981E-5	-	0.0	0.0
36	Butyricimonas	0.242666666666669	0.06462935448244667	0.09536752787909594	6.361173333333308E-4	+	0.0	0.0
5	Coprococcus	0.23200000000000218	0.08786641394169104	0.1604042157570159	0.0014711053333333248	+	0.0	0.0
99	Paenibacillus	0.23200000000000068	0.08786641394169104	0.3797851140557582	-8.838666666666688E-6	-	0.0	0.0
46	Klebsiella	0.23200000000000048	0.08786641394169104	0.10459901839087526	1.3385466666666673E-4	+	0.0	0.0
97	Haemophilus	0.22933333333333206	0.09235168655233272	0.2210550927605167	-7.253333333333344E-6	-	0.0	0.0
14	Subdoligranulum	0.22799999999999876	0.09702689759522087	0.05677573467352038	-0.0027485639999999993	-	0.0	0.0
72	Roseburia	0.22533333333333133	0.10189777916606357	0.05485241470545018	0.007826802666666664	+	0.0	0.0
45	Escherichia	0.22400000000000064	0.10697010207551338	1.0387198917620353E-8	-9.75506666666666E-5	-	0.0	0.0
38	Holdemania	0.22399999999999765	0.10697010207551338	0.009175491582432084	-3.612799999999999E-5	-	0.0	0.0
75	Pectobacterium	0.21333333333333573	0.14195986887800083	9.517848043271634E-6	-0.002770370666666661	-	0.0	0.0
130	Devosia	0.21066666666667033	0.14860498179427883	1.0E-12	-1.2230666666666671E-5	-	0.0	0.0
34	Anaerosporobacter	0.20800000000000202	0.1626439803391253	0.008208931794459596	-1.3013599999999993E-4	-	0.0	0.0
15	Akkermansia	0.20666666666666944	0.17004897432066512	0.6251581689236768	0.0015122546666666674	+	0.0	0.0
49	Lactobacillus	0.20533333333333714	0.17004897432066512	0.0015004609864735017	-0.0016575160000000043	-	0.0	0.0
136	Brevundimonas	0.2053333333333336	0.17004897432066512	3.943542079527647E-5	-2.8505333333333387E-5	-	0.0	0.0
109	Dysgonomonas	0.2053333333333327	0.17004897432066512	0.03225871097818391	-1.7761333333333363E-5	-	0.0	0.0
115	Pediococcus	0.20133333333333553	0.18565689176157318	0.1540036411495036	2.6450666666666647E-5	+	0.0	0.0
13	Marvinbryantia	0.20133333333333192	0.18565689176157318	0.252251947809221	-1.5679066666666737E-4	-	0.0	0.0
119	Erwinia	0.20000000000000134	0.19387016993785067	0.10605439601529931	-5.096000000000003E-6	-	0.0	0.0
