ID	Column Name	KS Statistic	KS p-value	T-test p-value	Group 1 Mean - Group 2 Mean	KS Sign	Fraction Null in Group 1	Fraction Null in Group 2
66	Bacteroides	0.4708958168902857	1.8202950258228157E-10	1.480246974853294E-8	0.07430359106156274	+	0.0	0.0
17	Campylobacter	0.4670481452249389	2.7324453810706473E-10	1.704369089268441E-7	8.077574980268351E-5	+	0.0	0.0
29	Faecalibacterium	0.44721783741120813	1.7343161351490721E-9	1.7666164367324076E-9	0.04593004508681933	+	0.0	0.0
100	Fusobacterium	0.42472375690607445	1.302164576166831E-8	2.3403136915622406E-7	0.003379501578531964	+	0.0	0.0
59	Sutterella	0.41850828729281775	2.394149190010353E-8	7.150543039386145E-6	0.0014143483622730845	+	0.0	0.0
37	Coprobacillus	0.418409629044983	2.394149190010353E-8	1.9604701591402072E-7	0.0015376208563535906	+	0.0	0.0
11	Peptostreptococcus	0.40775453827939356	6.212900927060616E-8	1.8948572418538492E-7	0.012743716258879243	+	0.0	0.0
3	Hydrogenoanaerobacterium	0.39749408050512636	1.401359495112331E-7	2.1195053587568592E-7	1.4621665351223368E-4	+	0.0	0.0
27	Gemella	0.39660615627465867	1.5715192580589843E-7	5.341318969006433E-7	0.005252144041041828	+	0.0	0.0
89	Eikenella	0.3899960536700797	2.475501079679532E-7	3.911530826689792E-7	5.107433898973954E-4	+	0.0	0.0
93	Varibaculum	0.38289265982635545	4.329460039365074E-7	1.6892969590986037E-6	2.5027200078926596E-4	+	0.0	0.0
54	Blautia	0.374013417521707	9.311431431457962E-7	2.5969272618512103E-6	0.021226731649565928	+	0.0	0.0
63	Parvimonas	0.36917916337805795	1.2851272473968223E-6	0.26799739089896646	8.788397790055228E-5	+	0.0	0.0
85	Sporomusa	0.3633583267561121	2.1811619482781097E-6	0.027092301804174025	8.487470402525651E-6	+	0.0	0.0
78	Mannheimia	0.3619771112864989	2.4216708568447487E-6	0.1904161486428415	4.564342936069454E-4	+	0.0	0.0
69	Barnesiella	0.3617797947908462	2.4216708568447487E-6	9.432795616189923E-6	0.0023519064719810553	+	0.0	0.0
84	Aggregatibacter	0.34727703235990454	6.7426817970117625E-6	0.7971459777428761	1.4640883977900321E-6	+	0.0	0.0
108	Porphyromonas	0.33810181531175754	1.348337895668017E-5	0.019571092835336798	1.6734116022099398E-5	+	0.0	0.0
35	Clostridium	0.33770718232044106	1.348337895668017E-5	0.15193870141387456	0.005432318666140506	+	0.0	0.0
101	Megasphaera	0.33593133385951135	1.4862744884269752E-5	0.20961765456526504	2.8442580899763292E-5	+	0.0	0.0
15	Akkermansia	0.3089976322020558	9.585702309422572E-5	0.0035887620769798185	0.008617461523283349	+	0.0	0.0
8	Dorea	0.30495264404104006	1.2504300754978548E-4	1.8144211069175898E-4	0.0049250087805840625	+	0.0	0.0
86	Moryella	0.29853985793211946	1.7723166853189642E-4	6.901688344372876E-4	2.522682517758487E-4	+	0.0	0.0
52	Bilophila	0.29696132596685365	1.931868274442916E-4	3.1379542907988164E-5	7.100560378847682E-4	+	0.0	0.0
99	Paenibacillus	0.28689818468824324	3.7950119227014856E-4	0.43042146790197555	6.441101026045739E-6	+	0.0	0.0
9	Desulfosporosinus	0.28620757695342947	3.7950119227014856E-4	7.696617080542338E-5	2.8557123125493326E-5	+	0.0	0.0
62	Corynebacterium	0.2849250197316453	4.121790072131315E-4	0.26812408307556335	9.426923835832683E-5	+	0.0	0.0
50	Serratia	0.27535516969218465	7.26659306559907E-4	0.6062366422941508	0.0017639281767955779	+	0.0	0.0
55	Morganella	0.26874506708760876	0.00107648645939884	0.9824242887280975	-2.0810082872928584E-5	-	0.0	0.0
75	Pectobacterium	0.2637134964483069	0.0013562214118040261	0.06769473013489072	-0.00147173451065509	-	0.0	0.0
33	Anaerostipes	0.2616416732438844	0.0015788590391356827	0.0012205885248054106	0.007506057320441989	+	0.0	0.0
44	Finegoldia	0.25956985003946176	0.0017025080015709015	0.25492270211131207	8.285536700868189E-5	+	0.0	0.0
76	Acetitomaculum	0.2588792423046568	0.0018351063913618626	0.39308140190355023	-1.1406866614048993E-4	-	0.0	0.0
92	Eggerthella	0.2562154696132606	0.002129532470765305	0.38224660480545725	3.004439621152345E-6	+	0.0	0.0
7	Victivallis	0.24644830307813304	0.0035399140740974833	0.005483412998316168	8.785615627466441E-5	+	0.0	0.0
87	Actinomyces	0.24516574585635353	0.003800385286136132	3.584808220416491E-5	-1.6767955801104947E-5	-	0.0	0.0
20	Pantoea	0.23964088397790184	0.005028403025039929	0.3943027827169534	8.063526045777418E-4	+	0.0	0.0
115	Pediococcus	0.23599052880820626	0.005770175151050827	0.3138395139591118	-9.734609313338566E-6	-	0.0	0.0
36	Butyricimonas	0.2346093133385981	0.006177430634444092	0.011403953840033655	7.139932912391444E-4	+	0.0	0.0
113	Cronobacter	0.23460931333859453	0.006177430634444092	0.49174443909376664	0.004937155189423947	+	0.0	0.0
60	Peptoniphilus	0.2332280978689813	0.0066107851134475926	0.7487654779339523	2.5665153906866925E-5	+	0.0	0.0
32	Alistipes	0.23066298342541794	0.007561748189787165	0.5702575985534033	3.219382399368628E-4	+	0.0	0.0
51	Shigella	0.22878847671665545	0.008635679320087908	0.31574495487939613	-1.3354380426203615E-5	-	0.0	0.0
111	Flavobacterium	0.22642067876874272	0.00922301842037887	0.021814768377508207	-5.3904992107340146E-5	-	0.0	0.0
38	Holdemania	0.22602604577742558	0.00984636488848667	0.19072777543818464	-2.0041633780583943E-5	-	0.0	0.0
97	Haemophilus	0.22286898184687987	0.011208834741002982	0.07165984460255176	-7.374013417521682E-6	-	0.0	0.0
61	Adlercreutzia	0.20935280189423638	0.0209199095402387	0.65574654815178	4.109629044988177E-5	+	0.0	0.0
42	Enterobacter	0.2071823204419921	0.02221796261652509	0.191590343666035	-0.0012281730465666984	-	0.0	0.0
121	Chromobacterium	0.2035319652722939	0.02655186844090507	0.17036627852331454	-5.567876874506682E-6	-	0.0	0.0
98	Anaerofilum	0.2022494080505104	0.028154288002759542	0.1900809458631274	-8.331985003946272E-6	-	0.0	0.0
13	Marvinbryantia	0.2005722178374093	0.029841473010029373	0.1563487428882181	1.6352910418310858E-4	+	0.0	0.0
119	Erwinia	0.198204419889505	0.03348500632827334	0.6262868697991988	-1.7134964483030993E-6	-	0.0	0.0
125	Anaerococcus	0.19692186266772088	0.03544906548412807	0.771436212526849	2.371191791633782E-5	+	0.0	0.0
88	Gardnerella	0.1933701657458543	0.03968187953811442	0.014459598346674485	-5.670303867403309E-5	-	0.0	0.0
5	Coprococcus	0.1932715074980268	0.03968187953811442	0.01995346017438547	0.002133271606156272	+	0.0	0.0
71	Prevotella	0.19011444356748253	0.04434906187152354	0.005216626307376688	-1.642372730860293E-4	-	0.0	0.0
120	Citrobacter	0.18646408839778933	0.052241888564704686	0.16028185530101313	-8.771803472770323E-6	-	0.0	0.0
70	Desulfovibrio	0.18261641673243734	0.06131801227961475	0.07389553092449824	7.351102999210721E-4	+	0.0	0.0
96	Bifidobacterium	0.18123520126282572	0.06462935448244667	0.9687328226890479	3.1767955801107134E-6	+	0.0	0.0
34	Anaerosporobacter	0.17916337805840715	0.06809222184476627	0.23682751828874804	1.4930781373322842E-4	+	0.0	0.0
72	Roseburia	0.17906471981057803	0.06809222184476627	0.02579175297694504	0.0064407193172849354	+	0.0	0.0
95	Actinobacillus	0.17353985793212337	0.08356539482936787	0.7837610621169675	-1.6225335438043039E-6	-	0.0	0.0
91	Erysipelatoclostridium	0.170876085240724	0.09235168655233272	0.009815317628131285	-2.0912292817679526E-5	-	0.0	0.0
30	Anaerotruncus	0.17008681925808922	0.09702689759522087	0.43757531522922255	3.618619771112866E-4	+	0.0	0.0
112	Enterococcus	0.16910023677979158	0.10189777916606357	0.0028115939708853533	-1.8546172059984233E-5	-	0.0	0.0
79	Gordonibacter	0.1670284135753739	0.10697010207551338	0.04023456396632302	-7.512628255722089E-6	-	0.0	0.0
14	Subdoligranulum	0.16564719810576067	0.11224966667072489	0.04610198512876277	-0.002295610694554075	-	0.0	0.0
43	Peptococcus	0.16199684293606895	0.1293900421856189	0.8173358186333539	7.549427782162915E-6	+	0.0	0.0
94	Oscillospira	0.16150355169692038	0.1293900421856189	0.47037841416236403	-7.334688239936794E-5	-	0.0	0.0
16	Veillonella	0.15824782951854807	0.14195986887800083	1.1317803686293208E-5	-1.7607330307813708E-4	-	0.0	0.0
23	Christensenella	0.1575572217837402	0.14860498179427883	0.2509236748933291	-5.440893843725324E-5	-	0.0	0.0
102	Herbaspirillum	0.15735990528808053	0.14860498179427883	0.9604851410615934	-7.963397790054522E-6	-	0.0	0.0
6	Phascolarctobacterium	0.15410418310970486	0.1626439803391253	0.6847439606231576	2.5427466456195806E-4	+	0.0	0.0
103	Papillibacter	0.15311760063141255	0.17004897432066512	0.015403386236341179	-6.728295185477475E-6	-	0.0	0.0
105	Thiothrix	0.15035516969218143	0.18565689176157318	0.24191726865128016	2.560359116022098E-5	+	0.0	0.0
118	Robinsoniella	0.1498618784530354	0.18565689176157318	5.208486406843404E-4	-1.140982636148382E-5	-	0.0	0.0
39	Alkalispirillum	0.1494672454617182	0.19387016993785067	0.9571169843782708	4.302486187845131E-7	+	0.0	0.0
110	Olsenella	0.14877663772691008	0.19387016993785067	0.029254761058552452	1.2994771112865011E-5	+	0.0	0.0
26	Bacillus	0.1467048145224934	0.2111399156490973	0.26587140536213094	6.16900157853195E-6	+	0.0	0.0
104	Johnsonella	0.1451262825572157	0.22020555870195024	0.03785018734249199	1.0826558800315693E-5	+	0.0	0.0
126	Candidatus.Armantifilum	0.1400947119179191	0.2491749955050626	0.22088119682510932	-1.7554952644041016E-5	-	0.0	0.0
53	Pseudobutyrivibrio	0.13950276243093374	0.2594341690935974	0.1130978355134995	0.0033452731846882414	+	0.0	0.0
130	Devosia	0.13871349644830588	0.2594341690935974	1.3634923610070515E-8	-1.0266377269139702E-5	-	0.0	0.0
77	Odoribacter	0.1303275453827928	0.3399189185925662	0.7401218367988248	3.965351223362179E-5	+	0.0	0.0
41	Propionispora	0.12884767166535516	0.3526628463667678	0.046935268261532714	-6.893547750591947E-6	-	0.0	0.0
28	Parabacteroides	0.12756511444357083	0.36571503102351555	0.05054166226035262	0.003964532162588807	+	0.0	0.0
114	Intestinimonas	0.12608524072612404	0.3790723461446418	0.7687064175390017	1.0927387529597312E-6	+	0.0	0.0
56	Providencia	0.12292817679557966	0.40668500491804727	0.7137611089432392	-9.545165745856315E-5	-	0.0	0.0
122	Weissella	0.12292817679557966	0.40668500491804727	0.06637591812804763	-5.328334648776641E-6	-	0.0	0.0
57	Salmonella	0.12292817679557827	0.40668500491804727	0.20396799845112157	-6.043330702446711E-5	-	0.0	0.0
24	Collinsella	0.12065903709550091	0.43545538170557074	0.8954677425180714	3.1833859510652963E-5	+	0.0	0.0
22	Enterorhabdus	0.11779794790844467	0.4653192202251585	0.14333067875213246	1.5583267561168103E-5	+	0.0	0.0
90	Oribacterium	0.1177979479084445	0.4653192202251585	0.6264295156068727	1.923835832675616E-6	+	0.0	0.0
81	Paludibacter	0.11760063141278482	0.4653192202251585	0.6175954720395933	-8.762924230465694E-6	-	0.0	0.0
47	Oscillibacter	0.11385161799526433	0.4961909953505056	0.4544912639198967	-1.2764068666140465E-4	-	0.0	0.0
68	Flavonifractor	0.11247040252565454	0.511971705298497	0.2957081235683632	-1.467245461720598E-5	-	0.0	0.0
10	Ruminococcus	0.10359116022099446	0.6271670417762616	0.1286728969128128	-0.007807308109707992	-	0.0	0.0
25	Candidatus.Arthromitus	0.1000394632991245	0.6608864386282611	0.29766743435038645	9.45994475138122E-6	+	0.0	0.0
49	Lactobacillus	0.09885556432518139	0.6777349664784746	0.4593310853270224	-4.1057468429360217E-4	-	0.0	0.0
4	Granulicatella	0.09816495659036595	0.6945301282244591	0.3683622199529608	9.467146803472755E-6	+	0.0	0.0
31	Streptococcus	0.09579715864246255	0.711235195029689	0.5419805746163917	-1.7350542620363056E-4	-	0.0	0.0
136	Brevundimonas	0.09540252565114415	0.7278117291165672	0.09281130839089957	-1.7678176795580128E-5	-	0.0	0.0
45	Escherichia	0.09540252565113949	0.7278117291165672	0.9519507310509531	-2.272592738752769E-6	-	0.0	0.0
12	Sarcina	0.09500789265982673	0.7278117291165672	0.9827064707893747	4.58040647198228E-6	+	0.0	0.0
106	Lactococcus	0.09352801894238011	0.7442197259033893	0.16399691467937805	-9.820244672454624E-6	-	0.0	0.0
