genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Hydrogenoanaerobacterium,0,7.5e-05,0.000175,0.000116,0.000305,0.000111,2.1e-05,0,5.1e-05,0,0,0,0,0,0,6.3e-05,0,0.000401,0.000344,0.000204,4.5e-05,0,4.3e-05,0,0,0,0,0,0,5e-05,0.000269,0.000104,0,0
Granulicatella,0,0,0,0,0,0,0.000285,0,8e-06,0,0,0,0,0,0,0,0,0,0,4.3e-05,0,0,0,0,0,0,0,0,1e-05,0,0.000152,0,0,0
Coprococcus,0.008025,0.006974,0.015387,0.026954,0.005143,0.005662,0.005544,0.003715,0.005751,0.00917,0.007136,0.008901,0.008073,0.013963,0.012004,0.003181,0.023585,0.005739,0.007844,0.01404,0.013511,0.01557,0.009553,0.003294,0.0049,0.005768,0.025516,0.006285,0.004898,0.003137,0.003478,0.012983,0.007356,0.005789
Phascolarctobacterium,0.004012,0.002411,0.006289,0.000985,0.000803,0.001499,0.001306,0.004682,0.005935,0.01026,0.00063,0.002161,0.000865,0.002289,0.00265,0.007679,0.000735,0.012448,0.012205,0.004646,0.002427,0.014896,0.008033,0.020358,0.001755,0.001691,0.000638,0.001603,0.000492,0.000751,0.000972,0.001639,0.000927,0.006638
Victivallis,0,0,7e-05,0,0,0,1.4e-05,2.6e-05,0.000572,1.8e-05,0.000207,0.000361,0.000382,0.000123,0.000242,0.000435,0.000224,0.000251,7.7e-05,2e-05,6e-05,0,0.000333,0,4.7e-05,0,0,0,0,1.5e-05,0.000176,0,4.1e-05,0
Dorea,0.019344,0.021738,0.014264,0.020764,0.022629,0.01349,0.010497,0.016112,0.011016,0.01892,0.016154,0.015586,0.018815,0.008884,0.016775,0.012582,0.025397,0.019525,0.008762,0.016062,0.015127,0.020956,0.012578,0.017024,0.008463,0.019645,0.019512,0.018221,0.01902,0.00771,0.006148,0.042304,0.028066,0.009837
Desulfosporosinus,0,0,0,0,0,0.000111,5.6e-05,0,0,0,0,0,3.2e-05,0,0,0,0,7e-06,0,3.6e-05,0,0,2.9e-05,0,0,0,8e-05,2.3e-05,7.4e-05,0.000143,9.4e-05,5.2e-05,0,0.000109
Ruminococcus,0.056833,0.062212,0.05127,0.054098,0.063919,0.075164,0.043677,0.032155,0.042177,0.044767,0.026165,0.050737,0.068187,0.076178,0.064757,0.057287,0.073824,0.173899,0.155303,0.099675,0.181225,0.095859,0.106053,0.059307,0.082352,0.081178,0.103313,0.066771,0.099366,0.090402,0.084842,0.166875,0.120526,0.228514
Peptostreptococcus,0,2e-04,0.000137,4.8e-05,0.004985,0.000278,0.027129,0.000328,0.002548,0.000703,0.000146,0.000106,0.000149,0.013285,0.000393,0.000126,0.006398,0.002518,0,0.018192,0,0.000168,0,0.001409,0,0.000347,2.7e-05,0,1e-05,0.000368,0.000644,0.00013,6.2e-05,0
Sarcina,0.00024,0.000455,0.001406,7.5e-05,0.002758,0.000999,0.001334,0.000726,2e-04,0.00029,0.001138,0.000338,0.00018,0.000173,0.000131,0.000144,0.000938,0.000466,0,0.000247,0.000125,0.008248,0.000608,0.001865,0.001414,0.001288,0.001102,0.000346,0.000452,0.000604,0.003665,0.00052,0.001216,0.000609
Marvinbryantia,0,0.000635,0.002154,0.000965,0.002362,0.002332,0.000459,0.001019,0.000572,8.8e-05,0.000464,0.000546,0.000456,0.000185,0.000181,0.001557,0.001939,0.001173,0.000727,0.000629,0.001181,0.000673,0.000362,0.000377,0.000552,0.000467,0.000903,0.000381,0.000718,0.000252,0.000222,0.002029,0.003771,0.000653
Subdoligranulum,0.02108,0.030108,0.02786,0.03525,0.00182,0.000888,0.000584,0.012233,0.012535,0.002778,0.000756,0.003141,0.001125,0.002774,0.003073,0.002293,0.002397,0.003327,0.004706,0.007718,0.006886,0.000168,5.8e-05,0.003314,0.003069,0.000545,0.017626,0.004417,0.007106,0.00211,0.000152,0.000494,0.006676,0.002633
Akkermansia,0.025991,0.001971,0.012355,0.021063,0.014378,0.000278,0.000618,0.004086,0.002963,0.000158,8.5e-05,0.000162,6.4e-05,1.6e-05,3.5e-05,0.0061,0.049818,0.020432,0.007155,0.007487,0.005394,0.000842,0.012404,0.011885,0.000329,0.000241,0,2.3e-05,0.00058,0.011532,0.007378,0.065694,0.003709,0.000131
Veillonella,0,0.002707,0.00021,2.7e-05,0,0,0.000347,0.001616,0,9.7e-05,8e-06,0.000333,0.000191,0.000136,0.000191,0.000129,9.1e-05,4e-05,0.000459,4.3e-05,7e-05,0,0.000203,0,0.000205,5e-05,0.000199,0.000265,0.000275,3.5e-05,2.3e-05,0,8.2e-05,0
Campylobacter,0,0,0,0,2.3e-05,0,2.8e-05,1.7e-05,0,0,0,0,0,8e-06,0,6e-06,7.5e-05,7e-06,0,1.3e-05,0,0,0,0,2.9e-05,1.4e-05,0,0,0.000177,0,2.3e-05,0,0,0
Tetragenococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,0,4.6e-05,0,0,0.000937,0,0,0
Dialister,0.015152,0.035111,0.00244,0.011952,0.010297,0.007994,0.015617,0.01003,0.000603,0.000554,0.010913,0.011834,0.008784,0.010425,0.005501,0.00412,0.018556,0.002059,0.005127,0.003385,0.003618,0.006733,0.003734,0.003433,0.002835,0.005831,0.00251,0.002099,0.005483,0.002409,0.005832,0.004605,0.005543,0.000522
