family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Flavobacteriaceae,0.00012,NA,9.2e-05,1.4e-05,NA,NA,5.6e-05,0.001209,2.3e-05,NA,1.2e-05,0.000111,2.1e-05,NA,NA,NA,NA,NA,NA,7e-06,NA,0.000168,NA,7.9e-05,5.9e-05,2.8e-05,0.000106,2.3e-05,NA,0.000186,0.000105,NA,NA,0.000261
Chromatiaceae,NA,3e-05,NA,NA,NA,NA,2.1e-05,NA,8e-06,4.4e-05,1.6e-05,NA,1.6e-05,1.2e-05,2e-05,1.2e-05,3.7e-05,NA,NA,NA,1e-05,NA,2.9e-05,4e-05,1.8e-05,NA,NA,2.3e-05,1.5e-05,3.1e-05,4.7e-05,NA,0.000206,4.4e-05
Syntrophomonadaceae,NA,1.5e-05,5.7e-05,0.000143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6e-05,1.1e-05,7.7e-05,NA,2.6e-05,1e-05,NA,NA,NA,NA,1.4e-05,NA,NA,NA,1.5e-05,2.3e-05,NA,NA,4.4e-05
Verrucomicrobiaceae,0.025991,0.001981,0.012435,0.021158,0.014423,0.000278,0.000639,0.004086,0.002963,0.000158,8.5e-05,0.000162,6.4e-05,1.6e-05,3.5e-05,0.006124,0.049973,0.020559,0.007155,0.007599,0.005394,0.000842,0.012535,0.011885,0.000329,0.000241,NA,2.3e-05,0.00058,0.011644,0.007378,0.065798,0.003915,0.000131
Granulosicoccaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,NA,NA,8e-06,2.3e-05,NA,NA,4.4e-05
Pseudomonadaceae,NA,2e-05,5.1e-05,NA,NA,NA,0.000167,0.000838,0.000121,NA,NA,7.9e-05,1.1e-05,0.000185,NA,2.4e-05,2.1e-05,0.000106,NA,6.6e-05,3.5e-05,NA,NA,0.000119,0.000288,0.000177,NA,0.000334,0.00325,0.000105,5.9e-05,7.8e-05,0.000185,0.000283
Streptococcaceae,0.003713,0.006879,0.006073,0.00551,0.010783,0.005773,0.003758,0.003879,0.004404,0.000782,0.001269,0.000259,0.002155,0.000883,0.006141,0.000825,0.000719,0.000918,0.001033,0.003737,0.000205,0.004713,0.002461,0.000437,0.001121,0.000927,0.0034,0.000957,0.005355,0.000441,0.001476,0.000104,0.005646,0.000109
Ruminococcaceae,0.251228,0.272136,0.286511,0.311636,0.245674,0.153714,0.150399,0.231156,0.244942,0.260928,0.309619,0.258619,0.283601,0.280773,0.262956,0.269808,0.263342,0.406546,0.368304,0.269447,0.413656,0.207793,0.193767,0.273299,0.303314,0.160098,0.356056,0.302985,0.323938,0.338493,0.22087,0.294073,0.402007,0.468781
Methylococcaceae,NA,3e-05,NA,2.7e-05,3.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,0.00054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e-05,3.5e-05,NA,8e-06,2.3e-05,NA,NA,NA
Peptococcaceae,0.00012,0.00063,0.000789,0.00104,0.000203,0.000555,0.000382,0.000613,0.000568,0.000317,0.000866,0.000874,0.000525,0.000362,0.000529,0.000339,0.000884,0.000576,0.000574,0.00053,0.000641,0.00303,0.001303,4e-05,0.000147,0.000177,0.000106,0.005305,0.000295,0.00036,0.000328,0.000312,4.1e-05,0.000152
Eubacteriaceae,0.017787,0.074559,0.024132,0.012074,0.0098,0.087876,0.064761,0.022341,0.031008,0.110626,0.012166,0.079023,0.027016,0.031213,0.065381,0.028879,0.016867,0.012965,0.020661,0.008933,0.050166,0.017253,0.020713,0.005357,0.015623,0.019256,0.007385,0.010483,0.028575,0.015304,0.036138,0.010485,0.012426,0.025071
Peptostreptococcaceae,NA,0.000971,0.000671,0.001026,0.005606,0.000278,0.027295,0.001132,0.002885,0.000835,0.00026,0.000171,0.001624,0.013326,0.000413,0.000174,0.007064,0.002569,7.7e-05,0.019186,0.000145,0.000168,0.000463,0.001409,0.000141,0.000446,0.005791,4.6e-05,0.000477,0.00043,0.000644,0.000208,0.000412,8.7e-05
Lachnospiraceae,0.206552,0.27152,0.270113,0.24662,0.287134,0.283113,0.219981,0.219951,0.259748,0.274247,0.331832,0.252309,0.327256,0.275476,0.339617,0.181223,0.291695,0.182018,0.149526,0.173381,0.317152,0.366857,0.218866,0.184329,0.20352,0.306821,0.348391,0.284522,0.274528,0.142072,0.132258,0.355812,0.345567,0.245816
Bacillaceae,NA,4e-05,6e-06,4.1e-05,7.9e-05,0.000111,0.000195,NA,2.7e-05,NA,3.3e-05,3.7e-05,2.1e-05,3.3e-05,1.5e-05,7.8e-05,3.2e-05,2.9e-05,7.7e-05,3.3e-05,1.5e-05,NA,NA,NA,NA,1.4e-05,5.3e-05,0.000173,NA,8.1e-05,7e-05,0.000104,NA,6.5e-05
Moraxellaceae,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,9e-06,NA,NA,NA,NA,1.1e-05,NA,NA,1.3e-05,1e-05,NA,NA,NA,2.3e-05,NA,NA,NA,1e-05,NA,2.3e-05,NA,NA,NA
