Flavobacteriaceae,Chromatiaceae,Syntrophomonadaceae,Verrucomicrobiaceae,Granulosicoccaceae,Pseudomonadaceae,Streptococcaceae,Ruminococcaceae,Methylococcaceae,Peptococcaceae,Eubacteriaceae,Peptostreptococcaceae,Lachnospiraceae,Bacillaceae,Moraxellaceae,Carnobacteriaceae,Ectothiorhodospiraceae,Campylobacteraceae,Lactobacillaceae,Defluviitaleaceae,Hydrogenophilaceae,Rhodospirillaceae,Corynebacteriaceae,Enterococcaceae,Enterobacteriaceae,Cytophagaceae,Sutterellaceae,Coriobacteriaceae,Prevotellaceae,Christensenellaceae,Rikenellaceae,Porphyromonadaceae,Clostridiales Family XIII. Incertae Sedis,Clostridiales Family XI. Incertae Sedis,Bacteroidaceae,Desulfovibrionaceae,Bartonellaceae,Acidaminococcaceae,Oscillospiraceae,Cryomorphaceae,Staphylococcaceae,Erysipelotrichaceae,Victivallaceae,Rhodobacteraceae,Synergistaceae,Veillonellaceae,Clostridiaceae,Halanaerobiaceae,Actinomycetaceae,Micrococcaceae,Rhodocyclaceae,Caulobacteraceae,Oceanospirillaceae,Acholeplasmataceae,Flammeovirgaceae,Fusobacteriaceae,Acetobacteraceae,Paenibacillaceae,Aerococcaceae,Neisseriaceae,Leuconostocaceae,Comamonadaceae,Caldicoprobacteraceae,Cellulomonadaceae,Dermatophilaceae,Nocardiaceae,Pasteurellaceae,Geobacteraceae,Oxalobacteraceae,Solirubrobacteraceae,Frankiaceae,Bifidobacteriaceae,Alcanivoracaceae,Thiotrichaceae,Xanthomonadaceae,Rhodothermaceae,Aeromonadaceae,Gracilibacteraceae,Catabacteriaceae,Thermoanaerobacteraceae,Desulfobulbaceae,Gallionellaceae,Erythrobacteraceae,Halomonadaceae,Sphingobacteriaceae,Spirochaetaceae,Puniceicoccaceae,Pseudonocardiaceae,Marinilabiliaceae,Leptospiraceae,Piscirickettsiaceae,Gemmatimonadaceae,Acidobacteriaceae,Leptotrichiaceae,Legionellaceae,Alicyclobacillaceae,Thermoactinomycetaceae,Alteromonadaceae,Helicobacteraceae,Sphingomonadaceae,Coxiellaceae,Bradyrhizobiaceae,Nitrosomonadaceae,Microbacteriaceae,Crenotrichaceae,Desulfohalobiaceae,Brucellaceae,Hyphomonadaceae,Rickettsiaceae,Natranaerobiaceae,Sinobacteraceae,Streptosporangiaceae,Chromobacteriaceae,Burkholderiaceae,Heliobacteriaceae,Thioalkalispiraceae,Streptomycetaceae,Desulfobacteraceae,Clostridiales Family XII. Incertae Sedis,Acidithiobacillaceae,Candidatus Midichloriaceae,Gordoniaceae,Desulfuromonadaceae,Hyphomicrobiaceae,Idiomarinaceae,Proteinivoraceae,Kineosporiaceae,Anaeroplasmataceae,Desulfurobacteriaceae,Succinivibrionaceae,Pasteuriaceae,Rubrobacteraceae,Solibacteraceae,Francisellaceae,Scytonemataceae,Planococcaceae,Geodermatophilaceae,Nitrospinaceae,Nitrospiraceae,Bdellovibrionaceae,Holophagaceae,Pseudoalteromonadaceae,Methylocystaceae,Alcaligenaceae,Trueperaceae,Beijerinckiaceae,Syntrophobacteraceae,Prochlorococcaceae,Opitutaceae,Sporolactobacillaceae,Ferrimonadaceae,Planctomycetaceae,Syntrophorhabdaceae,Methylobacteriaceae,Ignavibacteriaceae,Vibrionaceae,Fibrobacteraceae,Mycobacteriaceae,Thermaceae,Nannocystaceae,Thermoanaerobacterales Family IV. Incertae Sedis,Syntrophaceae,Listeriaceae,Bacillales Family X. Incertae Sedis,Phyllobacteriaceae,Thermolithobacteraceae,Patulibacteraceae,Desulfurellaceae,Promicromonosporaceae,Parvularculaceae,Catenulisporaceae,Nocardioidaceae,date
0.00012,NA,NA,0.025991,NA,NA,0.003713,0.251228,NA,0.00012,0.017787,NA,0.206552,NA,NA,NA,NA,NA,0.00024,NA,NA,NA,NA,NA,0.267577,NA,0.000419,0.004551,0.000299,0.006228,0.021619,0.007426,NA,0.00024,0.044736,0.008863,NA,0.004012,NA,NA,NA,0.013235,NA,NA,0.00012,0.015152,0.02108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3.2012
NA,3e-05,1.5e-05,0.001981,NA,2e-05,0.006879,0.272136,3e-05,0.00063,0.074559,0.000971,0.27152,4e-05,NA,NA,NA,NA,0.000795,0.00047,NA,2e-05,NA,1e-05,0.042755,3e-05,5e-04,0.002426,0.014979,0.004633,0.015074,0.019341,NA,3.5e-05,0.037687,0.004828,NA,0.002451,0.000235,NA,2e-05,0.006344,NA,2.5e-05,NA,0.038703,0.028787,NA,2.5e-05,4e-05,NA,1e-05,5.5e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,0.00013,NA,1e-05,NA,NA,0.00014,3e-05,NA,2e-05,NA,NA,1e-05,NA,3.5e-05,3.5e-05,NA,NA,NA,NA,NA,NA,1e-05,NA,3e-05,1e-05,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,NA,6e-05,NA,NA,NA,NA,2.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,NA,NA,NA,1e-05,1.5e-05,NA,NA,NA,NA,NA,NA,2e-05,NA,NA,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,1e-05,1.5e-05,1e-05,NA,NA,NA,NA,8.7.2012
9.2e-05,NA,5.7e-05,0.012435,NA,5.1e-05,0.006073,0.286511,NA,0.000789,0.024132,0.000671,0.270113,6e-06,NA,NA,0.000185,NA,0.012998,0.000216,NA,0.005433,6e-06,0.00015,0.007721,1.6e-05,0.001212,0.008707,0.020744,0.006928,0.012397,0.029829,1.9e-05,1.3e-05,0.085916,0.006626,NA,0.006458,0.000331,NA,NA,0.013415,7e-05,NA,0.000366,0.002672,0.045522,NA,0.000153,6e-06,2.2e-05,2.2e-05,NA,1.6e-05,1.3e-05,2.9e-05,NA,1.9e-05,NA,NA,NA,5.7e-05,NA,NA,NA,NA,4.1e-05,NA,5.4e-05,NA,NA,0.001021,NA,1.3e-05,4.1e-05,NA,NA,NA,NA,NA,NA,1.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,2.5e-05,NA,NA,NA,NA,NA,NA,3.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-06,6e-06,6e-06,6e-06,1.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6.2012
1.4e-05,NA,0.000143,0.021158,NA,NA,0.00551,0.311636,2.7e-05,0.00104,0.012074,0.001026,0.24662,4.1e-05,NA,NA,6.8e-05,NA,0.001291,1.4e-05,NA,1.4e-05,NA,1.4e-05,0.152679,NA,0.00038,0.006176,8.2e-05,0.00848,0.022408,0.015967,0.000217,NA,0.044993,0.016572,NA,0.001012,8.8e-05,NA,NA,0.005082,NA,1.4e-05,5.4e-05,0.012169,0.023101,NA,6.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,1.4e-05,NA,8.8e-05,NA,NA,0.000319,NA,NA,1.4e-05,NA,1.4e-05,4.1e-05,2e-05,1.4e-05,1.4e-05,4.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26.2013
NA,NA,NA,0.014423,NA,NA,0.010783,0.245674,3.4e-05,0.000203,0.0098,0.005606,0.287134,7.9e-05,NA,NA,3.4e-05,2.3e-05,0.00286,2.3e-05,NA,0.000554,NA,NA,0.016604,NA,9e-05,0.003594,0.011224,0.010975,0.019871,0.053498,3.4e-05,0.000452,0.063648,0.012151,NA,0.000848,5.7e-05,0.00043,2.3e-05,0.004657,NA,NA,6.8e-05,0.010512,0.05829,NA,0.000384,NA,NA,2.3e-05,NA,NA,NA,0.002091,NA,0.000102,NA,NA,NA,NA,NA,NA,NA,NA,0.000396,NA,0.000102,NA,NA,0.00026,4.5e-05,0.00061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,2.3e-05,NA,NA,NA,9e-05,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25.2013
NA,NA,NA,0.000278,NA,NA,0.005773,0.153714,NA,0.000555,0.087876,0.000278,0.283113,0.000111,NA,NA,NA,NA,0.000222,0.000222,NA,0.004052,NA,NA,0.088875,0.000111,NA,0.00272,0.063451,0.002554,0.015432,0.043189,NA,NA,0.031142,0.013545,NA,0.001499,0.000888,NA,NA,0.005163,NA,0.000722,NA,0.007994,0.041745,NA,0.000111,NA,NA,NA,NA,0.001332,NA,0.000167,NA,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,0.000111,NA,NA,NA,NA,NA,0.000111,NA,0.000111,NA,NA,NA,NA,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24.2013
5.6e-05,2.1e-05,NA,0.000639,NA,0.000167,0.003758,0.150399,NA,0.000382,0.064761,0.027295,0.219981,0.000195,NA,0.000299,1.4e-05,2.8e-05,0.003585,4.2e-05,NA,0.009587,NA,1.4e-05,0.052027,1.4e-05,0.000382,0.002313,0.069555,0.001938,0.015457,0.05366,6.9e-05,0.001195,0.058592,0.011032,NA,0.001306,0.00032,7.6e-05,1.4e-05,0.005238,1.4e-05,4.2e-05,NA,0.016166,0.012949,NA,0.000222,NA,2.8e-05,8.3e-05,2.1e-05,1.4e-05,1.4e-05,0.010101,1.4e-05,6.3e-05,NA,NA,1.4e-05,2.1e-05,NA,NA,NA,NA,0.011518,NA,1.4e-05,NA,NA,2.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,2.1e-05,NA,NA,1.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4e-05,1.4e-05,2.1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7.2013
0.001209,NA,NA,0.004086,NA,0.000838,0.003879,0.231156,NA,0.000613,0.022341,0.001132,0.219951,NA,NA,NA,4.3e-05,1.7e-05,0.012708,4.3e-05,NA,0.000311,NA,NA,0.049338,NA,0.004423,0.005564,0.065536,0.005451,0.01016,0.034142,NA,NA,0.058789,0.006281,NA,0.004682,0.000121,NA,NA,0.005883,2.6e-05,NA,NA,0.011663,0.015853,NA,9.5e-05,NA,NA,0.00051,NA,3.5e-05,NA,0.000121,NA,1.7e-05,NA,NA,NA,0.000415,NA,NA,NA,3.5e-05,0.000138,NA,0.000458,NA,NA,0.001235,NA,NA,NA,NA,NA,2.6e-05,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,5.2e-05,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,1.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6e-05,NA,NA,NA,NA,0.000121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29.2013
2.3e-05,8e-06,NA,0.002963,NA,0.000121,0.004404,0.244942,NA,0.000568,0.031008,0.002885,0.259748,2.7e-05,8e-06,8e-06,NA,NA,0.002795,1.6e-05,NA,0.032144,8e-06,8e-06,0.124886,NA,0.002909,0.002999,0.075781,0.001946,0.007641,0.00999,NA,0.000164,0.026365,0.008636,NA,0.005989,0.00074,2.7e-05,NA,0.003864,0.000572,8e-06,NA,0.000619,0.011627,NA,0.000106,NA,1.6e-05,5.5e-05,NA,NA,NA,0.00038,NA,1.2e-05,NA,NA,2e-04,NA,NA,NA,NA,NA,0.000407,NA,NA,NA,NA,3.5e-05,NA,NA,1.2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-06,NA,NA,NA,NA,NA,NA,NA,NA,6.9.2013
NA,4.4e-05,NA,0.000158,NA,NA,0.000782,0.260928,NA,0.000317,0.110626,0.000835,0.274247,NA,NA,9.7e-05,NA,NA,0.015368,4.4e-05,NA,0.007561,0.000229,1.8e-05,0.060109,NA,0.002558,0.002005,0.042429,0.003095,0.008124,0.016388,7.9e-05,5.3e-05,0.034789,0.00495,NA,0.010436,0.001231,NA,NA,0.009258,1.8e-05,NA,1.8e-05,0.000668,0.001521,NA,1.8e-05,NA,NA,NA,NA,NA,2.6e-05,3.5e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,NA,NA,7e-05,NA,1.8e-05,NA,NA,NA,NA,NA,7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,2.6e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6e-05,NA,NA,NA,NA,NA,NA,NA,7.14.2013
