date.difference,mag.dist,date.diff,Hydrogenoanaerobacterium,Granulicatella,Coprococcus,Phascolarctobacterium,Victivallis,Dorea,Desulfosporosinus,Ruminococcus,Peptostreptococcus,Sarcina,Marvinbryantia,Subdoligranulum,Akkermansia,Veillonella,Campylobacter,Tetragenococcus,Dialister,Pantoea,Pseudomonas,Enterorhabdus,Christensenella,Collinsella,Candidatus.Arthromitus,Bacillus,Gemella,Parabacteroides,Faecalibacterium,Anaerotruncus,Streptococcus,Alistipes,Anaerostipes,Anaerosporobacter,Clostridium,Butyricimonas,Coprobacillus,Holdemania,Alkalispirillum,Macellibacteroides,Propionispora,Enterobacter,Peptococcus,Finegoldia,Escherichia,Klebsiella,Oscillibacter,Halorhodospira,Lactobacillus,Serratia,Shigella,Bilophila,Pseudobutyrivibrio,Blautia,Morganella,Providencia,Salmonella,Eubacterium,Sutterella,Peptoniphilus,Adlercreutzia,Corynebacterium,Parvimonas,Parasutterella,Tatumella,Bacteroides,Butyrivibrio,Flavonifractor,Barnesiella,Desulfovibrio,Prevotella,Roseburia,Lachnospira,Thalassospira,Pectobacterium,Acetitomaculum,Odoribacter,Mannheimia,Gordonibacter,Leuconostoc,Paludibacter,Sporobacter,Aquisalimonas,Aggregatibacter,Sporomusa,Moryella,Actinomyces,Gardnerella,Eikenella,Oribacterium,Erysipelatoclostridium,Varibaculum,Oscillospira,Actinobacillus,Bifidobacterium,Haemophilus,Anaerofilum,Paenibacillus,Fusobacterium,Megasphaera,Herbaspirillum,Papillibacter,Johnsonella,Thiothrix,Enorma,Porphyromonas,Dysgonomonas,Olsenella,Flavobacterium,Enterococcus,Cronobacter,Intestinimonas,Pediococcus,Shuttleworthia,Alicyclobacillus,Robinsoniella,Erwinia,Citrobacter,Chromobacterium,Plesiomonas,Aeromonas,Anaerococcus,Candidatus.Armantifilum,Flexibacter,Devosia,Chryseobacterium,Planifilum,Turicibacter,Anaeroplasma,Natranaerovirga,Howardella,Brevundimonas,Cellvibrio,Lonsdalea,Rahnella,Hafnia,Yersinia,Francisella,Methylobacter,Rhodobacter,Dechloromarinus,Ewingella,Thermus,Nitrosomonas
467,0.715959,2012-04-03 - 2013-07-14,0,0,2.45182012847966e-06,1.33790149892934e-05,3.85438972162741e-08,9.07922912205569e-07,0,2.58372591006424e-05,1.50535331905782e-06,1.07066381156317e-07,1.88436830835118e-07,3.91905781584583e-05,5.53169164882227e-05,2.07708779443255e-07,0,0,3.12591006423983e-05,2.56959314775161e-07,0,0,1.50535331905782e-06,5.24625267665953e-06,0,0,1.78800856531049e-06,1.34732334047109e-05,0.000221642398286938,3.37880085653105e-05,6.31263383297645e-06,2.89357601713062e-05,3.88886509635974e-05,1.27194860813704e-06,4.08886509635974e-05,3.74089935760171e-06,0,9.42184154175589e-08,0,0,0,0,3.96145610278373e-07,0,2.78372591006424e-08,0,2.63597430406852e-06,0,3.23940042826552e-05,5.56745182012848e-06,0,3.06852248394004e-06,7.4796573875803e-06,4.4254817987152e-05,0,0,1.32762312633833e-07,0.000198798715203426,4.74518201284797e-06,2.56959314775161e-07,5.8458244111349e-07,2.44111349036403e-07,1.13490364025696e-07,1.62740899357602e-07,0,2.23918629550321e-05,1.37815845824411e-05,7.49464668094218e-08,1.14989293361884e-06,1.14475374732334e-05,3.96145610278373e-07,7.8627408993576e-05,7.60449678800856e-05,1.61905781584582e-05,3.01927194860814e-07,4.51820128479657e-07,3.04925053533191e-06,3.85438972162741e-08,1.43468950749465e-07,0,0,0,0,0,0,0,3.85438972162741e-08,0,0,0,0,0,4.90364025695932e-07,0,2.35546038543897e-07,0,7.49464668094218e-08,2.56959314775161e-07,7.49464668094218e-08,3.85438972162741e-08,0,2.56959314775161e-07,0,0,0,0,0,0,2.56959314775161e-07,3.85438972162741e-08,0.000437608137044968,0,0,0,0,3.85438972162741e-08,0,1.32762312633833e-07,0,0,0,0,0,0,3.85438972162741e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,0.627268,2012-04-03 - 2013-08-10,0,0,1.7995951417004e-06,6.84615384615385e-06,4.19028340080972e-07,6.45748987854251e-06,0,6.2080971659919e-05,2.95546558704453e-07,1.81781376518219e-06,9.39271255060729e-07,4.11417004048583e-05,5.24412955465587e-05,1.61943319838057e-08,0,0,8.58097165991903e-06,3.42105263157895e-07,0,8.29959514170041e-08,1.43117408906883e-06,1.24089068825911e-06,0,1.61943319838057e-08,3.03643724696356e-07,1.71214574898785e-05,0.000329744939271255,2.91720647773279e-05,5.60728744939271e-06,3.81255060728745e-05,1.32044534412955e-05,2.1497975708502e-06,2.84493927125506e-05,3.07894736842105e-06,0,2.71255060728745e-07,0,0,0,0,4.02834008097166e-07,1.61943319838057e-08,1.65991902834008e-07,0,7.39878542510121e-06,0,5.82793522267206e-06,3.67004048582996e-06,1.31578947368421e-07,3.04453441295547e-06,8.51214574898785e-06,9.25971659919028e-05,0,0,5.4251012145749e-07,1.1412955465587e-05,4.93927125506073e-07,2.42914979757085e-07,4.81781376518219e-07,9.91902834008097e-08,5.66801619433198e-08,4.19028340080972e-07,0,1.78582995951417e-05,8.69210526315789e-05,1.23481781376518e-07,7.60121457489879e-06,1.52570850202429e-05,5.76923076923077e-07,1.37854251012145e-06,1.82591093117409e-05,3.81983805668016e-06,4.19028340080972e-07,1.31781376518219e-06,1.51417004048583e-06,3.23886639676113e-08,1.11336032388664e-07,0,0,0,0,0,0,1.98380566801619e-07,9.91902834008097e-08,0,0,1.5587044534413e-07,2.55060728744939e-07,0,3.42307692307692e-06,9.10931174089069e-08,1.10121457489879e-06,1.07287449392713e-07,1.61943319838057e-08,2.26720647773279e-07,6.68016194331984e-08,0,1.24291497975709e-06,1.76113360323887e-07,0,0,0,1.61943319838057e-08,0,0,2.42914979757085e-07,0,0.000317704453441296,1.61943319838057e-08,2.46963562753036e-07,1.61943319838057e-08,0,1.61943319838057e-08,0,4.04858299595142e-08,0,0,0,3.23886639676113e-08,0,1.61943319838057e-08,3.64372469635628e-07,0,0,0,0,0,0,0,0,0,0,0,1.61943319838057e-08,0,0,0,0,0,0,0
518,0.562961,2012-04-03 - 2013-09-03,0,0,1.69111969111969e-06,3.57335907335907e-06,6.96911196911197e-07,7.25482625482626e-06,0,1.17683397683398e-05,2.04633204633205e-07,1.89189189189189e-07,1.05405405405405e-06,3.46312741312741e-05,4.98629343629344e-05,6.42857142857143e-07,0,0,6.4054054054054e-06,1.35135135135135e-07,1.52509652509653e-07,0,8.66795366795367e-07,4.62355212355212e-06,0,7.14285714285714e-08,1.6023166023166e-07,1.95617760617761e-05,0.000125138996138996,3.07625482625483e-05,6.96332046332046e-06,2.91872586872587e-05,5.61351351351351e-05,2.08108108108108e-06,3.03725868725869e-05,3.03861003861004e-06,0,2.58687258687259e-07,0,0,0,0,3.84169884169884e-07,0,4.63320463320463e-08,4.44015444015444e-08,5.50965250965251e-06,0,2.39555984555985e-05,5.27413127413127e-06,1.15830115830116e-07,2.44787644787645e-06,1.1957528957529e-05,6.89961389961389e-06,0,0,2.31660231660232e-07,0.000118216216216216,2.23938223938224e-07,2.31660231660232e-07,4.78764478764479e-07,1.33204633204633e-07,0,6.83397683397684e-07,1.73745173745174e-08,2.41698841698842e-05,6.74324324324324e-06,1.7953667953668e-07,3.17567567567568e-06,1.08841698841699e-05,6.17760617760618e-08,5.20250965250965e-05,5.86370656370656e-05,6.17683397683398e-05,1.73745173745174e-08,6.64092664092664e-07,1.7953667953668e-06,7.14285714285714e-08,2.31660231660232e-07,0,0,8.10810810810811e-08,0,0,0,7.14285714285714e-08,0,5.0965250965251e-07,0,1.73745173745174e-08,8.88030888030888e-08,0,1.08108108108108e-06,8.88030888030888e-08,2.33590733590734e-07,0,1.6023166023166e-07,1.6988416988417e-07,1.73745173745174e-08,2.7027027027027e-08,7.23938223938224e-07,2.14285714285714e-07,0,0,0,1.73745173745174e-08,0,0,2.31660231660232e-07,0,0.000257505791505791,2.7027027027027e-08,3.66795366795367e-08,0,0,0,0,0,5.40540540540541e-08,0,0,8.10810810810811e-08,0,0,3.47490347490348e-07,2.14285714285714e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66795366795367e-08,0,0
539,0.611308,2012-04-03 - 2013-09-24,0,0,8.90538033395198e-08,5.83858998144712e-06,7.08719851576995e-07,9.8144712430427e-07,5.93692022263451e-08,2.10649350649351e-05,2.76437847866419e-07,1.11317254174397e-07,8.46011131725418e-07,3.70222634508349e-05,4.81020408163265e-05,3.54359925788497e-07,0,0,1.18144712430427e-05,4.59406307977737e-05,2.04081632653061e-08,0,1.07421150278293e-06,1.95918367346939e-06,0,3.8961038961039e-08,2.94990723562152e-07,3.32838589981447e-06,0.000196920222634508,2.93265306122449e-05,3.04823747680891e-06,3.12764378478664e-05,5.12764378478664e-05,2e-06,3.37309833024119e-05,3.61224489795918e-06,0,2.85714285714286e-07,0,0,0,2.76437847866419e-07,5.71428571428571e-07,0,3.5621521335807e-07,7.79220779220779e-08,2.72727272727273e-06,0,1.57328385899814e-06,4.54359925788497e-06,5.93692022263451e-08,1.50649350649351e-06,1.0760667903525e-06,5.80612244897959e-05,0,0,2.05936920222635e-07,1.71224489795918e-05,1.48423005565863e-07,1.53988868274583e-07,5.54730983302412e-07,0,0,2.67161410018553e-07,0,4.1265306122449e-05,8.65027829313544e-05,8.90538033395176e-08,3.55287569573284e-06,1.14508348794063e-05,5.00927643784787e-08,2.10018552875696e-05,0.000107074211502783,1.21410018552876e-05,3.45083487940631e-07,1.19294990723562e-06,1.49721706864564e-06,0,2.22634508348794e-07,0,0,1.96660482374768e-07,0,0,0,5.93692022263451e-08,3.8961038961039e-08,8.90538033395176e-08,0,3.8961038961039e-08,2.46753246753247e-07,0,1.22077922077922e-06,1.78107606679035e-07,9.96289424860853e-07,0,1.37291280148423e-07,2.22634508348794e-07,2.04081632653061e-08,0,8.07050092764378e-07,1.15027829313544e-07,0,0,0,0,0,0,2.02226345083488e-07,6.86456400742115e-08,0.000222050092764378,0,3.8961038961039e-08,0,0,0,0,2.04081632653061e-08,0,0,0,0,0,0,3.33951762523191e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,0.822889,2012-04-03 - 2013-10-27,0,0,1.03811188811189e-05,3.01223776223776e-06,2.15034965034965e-07,1.82867132867133e-05,0,3.38199300699301e-05,2.32255244755245e-05,1.17132867132867e-07,3.23426573426573e-07,3.20034965034965e-05,4.54108391608392e-05,2.37762237762238e-07,1.3986013986014e-08,0,8.26398601398601e-06,2.13286713286713e-07,3.23426573426573e-07,1.3986013986014e-08,9.63286713286713e-07,3.67482517482518e-06,0,4.37062937062937e-08,8.38986013986014e-06,1.18181818181818e-05,0.000165566433566434,2.74090909090909e-05,5.22727272727273e-06,2.96713286713287e-05,3.08024475524475e-05,1.88461538461538e-06,2.68933566433566e-05,3.53846153846154e-06,3.67132867132867e-08,3.37412587412587e-07,0,0,0,9.26573426573427e-08,2.44755244755245e-07,4.37062937062937e-08,8.74125874125874e-08,1.7465034965035e-06,6.30769230769231e-06,2.0979020979021e-08,8.67132867132867e-07,0.000164699300699301,3.67132867132867e-08,4.84265734265734e-06,5.88164335664336e-05,7.52972027972029e-06,6.46853146853147e-08,0,9.26573426573427e-08,2.3472027972028e-05,4.38811188811189e-07,4.38811188811189e-06,3.42657342657343e-07,1.01398601398601e-07,4.5979020979021e-07,7.18531468531469e-07,0,4.46520979020979e-05,1.24562937062937e-05,4.23076923076923e-07,1.10909090909091e-05,1.06818181818182e-05,5.06993006993007e-08,1.31013986013986e-05,7.18793706293706e-05,2.8763986013986e-05,3.51398601398601e-07,1.1520979020979e-06,1.18531468531469e-06,1.22377622377622e-07,8.04195804195804e-08,0,0,2.72727272727273e-07,4.37062937062937e-08,0,0,4.37062937062937e-08,1.36363636363636e-07,2.7972027972028e-08,4.37062937062937e-08,1.3986013986014e-08,8.56643356643357e-08,1.50174825174825e-06,4.08041958041958e-06,0,3.74125874125874e-07,1.3986013986014e-08,3.58391608391608e-07,1.45104895104895e-07,2.65734265734266e-07,1.5034965034965e-07,1.04195804195804e-06,1.95804195804196e-07,2.0979020979021e-08,5.06993006993007e-08,2.7972027972028e-08,5.76923076923077e-08,0,0,2.0979020979021e-07,2.7972027972028e-08,0.000460587412587413,5.76923076923077e-08,4.38811188811189e-07,1.3986013986014e-08,0,0,0,5.06993006993007e-08,1.3986013986014e-08,0,0,4.41083916083916e-06,0,1.3986013986014e-08,3.14685314685315e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,0.682958,2012-04-03 - 2013-11-10,0,0,6.7901023890785e-06,2.32423208191126e-06,4.12969283276451e-07,4.3839590443686e-06,0,1.35221843003413e-05,6.70648464163823e-07,1.86006825938567e-07,3.08873720136519e-07,3.07286689419795e-05,4.42935153583618e-05,3.25938566552901e-07,0,0,1.64692832764505e-05,2.95051194539249e-06,0,3.41296928327645e-08,6.02389078498294e-07,4.06825938566553e-06,0,0,5.66552901023891e-07,2.30204778156997e-06,0.000143153583617747,2.75716723549488e-05,3.84129692832764e-06,2.57866894197952e-05,5.16860068259386e-05,1.83959044368601e-06,3.24522184300341e-05,2.53924914675768e-06,0,1.10921501706485e-07,0,0,0,3.03361774744027e-05,4.04436860068259e-07,0,1.86006825938567e-07,8.53242320819113e-08,4.20307167235495e-06,0,4.41296928327645e-06,1.219795221843e-05,0,1.76279863481229e-06,4.10563139931741e-05,6.11160409556314e-05,2.55972696245734e-08,0,9.38566552901024e-08,8.11843003412969e-05,4.04436860068259e-07,1.5358361774744e-07,4.93174061433447e-07,5.11945392491468e-08,0,5.08532423208191e-07,0,2.71006825938567e-05,2.01740614334471e-05,3.41296928327645e-08,2.59897610921502e-06,1.1179180887372e-05,9.38566552901024e-08,4.480204778157e-05,4.59095563139932e-05,2.97952218430034e-05,2.49146757679181e-07,1.04778156996587e-06,1.44368600682594e-06,0,1.5358361774744e-07,0,0,1.02389078498294e-07,0,0,0,0,3.41296928327645e-08,6.8259385665529e-08,0,1.70648464163823e-08,5.97269624573379e-08,0,1.31569965870307e-06,1.70648464163823e-08,8.02047781569965e-08,0,7.67918088737201e-08,1.87713310580205e-07,0,1.02389078498294e-07,1.6382252559727e-07,1.79180887372014e-07,0,0,0,0,0,0,2.04778156996587e-07,2.55972696245734e-08,0.000319199658703072,2.55972696245734e-08,0,0,0,0,0,5.11945392491468e-08,1.70648464163823e-08,0,0,4.26621160409556e-08,0,0,3.07167235494881e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0.478102,2012-04-03 - 2013-12-14,1.01612903225806e-07,0,7.81290322580645e-06,5.91451612903226e-06,7.01612903225806e-07,1.09064516129032e-05,0,7.32258064516123e-07,2.03225806451613e-07,1.54838709677419e-07,2.51129032258065e-06,3.03016129032258e-05,3.20822580645161e-05,2.08064516129032e-07,9.67741935483871e-09,0,1.77935483870968e-05,1.30645161290323e-07,2.90322580645161e-08,0,4.64516129032258e-07,4.03870967741936e-06,0,5.32258064516129e-08,1.54838709677419e-07,3.36290322580645e-05,4.62096774193548e-06,1.88322580645161e-05,5.05967741935484e-06,1.74258064516129e-05,5.24467741935484e-05,1.73870967741935e-06,1.8358064516129e-05,6.97903225806452e-06,1.54838709677419e-07,6.87096774193548e-07,4.83870967741936e-08,0,0,1.93548387096774e-07,1.45161290322581e-08,1.93548387096774e-08,3.09677419354839e-07,9.67741935483871e-09,4.16129032258065e-07,0,7.29838709677419e-06,3.41774193548387e-06,6.29032258064516e-08,3.47096774193548e-06,2.71435483870968e-05,5.79548387096774e-05,3.87096774193548e-08,0,2.08064516129032e-07,1.78709677419355e-05,2.08064516129032e-07,1.83870967741935e-07,3.95161290322581e-07,0,0,1.77258064516129e-06,0,8.28274193548387e-05,1.04193548387097e-06,8.70967741935484e-08,6.82258064516129e-07,5.03709677419355e-06,7.25806451612903e-08,1.84064516129032e-05,1.28741935483871e-05,2.93483870967742e-05,1.55322580645161e-06,7.91935483870968e-07,4.78225806451613e-06,5.80645161290323e-08,1.93548387096774e-07,0,3.87096774193548e-08,8.70967741935484e-08,0,9.67741935483871e-09,0,5.70967741935484e-07,8.2258064516129e-08,1.80967741935484e-06,0,0,9.67741935483871e-09,0,9.67741935483871e-09,4.83870967741936e-08,2.75806451612903e-07,1.45161290322581e-08,2.90322580645161e-08,1.54838709677419e-07,1.30645161290323e-07,9.67741935483871e-08,2.03225806451613e-07,1.35483870967742e-07,0,0,0,3.38709677419355e-08,0,0,1.93548387096774e-07,0,0.000212991935483871,9.67741935483871e-09,0,0,0,0,0,0,2.41935483870968e-08,0,0,0,0,0,2.90322580645161e-07,0,0,0,0,0,0,0,0,0,0,0,0,9.67741935483871e-09,8.41935483870968e-07,0,0,0,0,0
656,0.608249,2012-04-03 - 2014-01-19,0,0,2.37195121951219e-05,4.99542682926829e-06,3.41463414634146e-07,9.22713414634146e-06,0,2.59009146341463e-05,9.75304878048781e-06,1.0640243902439e-06,2.95579268292683e-06,2.84801829268293e-05,3.63216463414634e-05,1.38719512195122e-07,1.14329268292683e-07,0,5.1890243902439e-06,1.68795731707317e-05,3.20121951219512e-08,0,6.34146341463415e-07,4.58536585365854e-06,0,4.8780487804878e-08,2.52591463414634e-06,3.89115853658537e-05,2.99862804878049e-05,1.04298780487805e-05,4.60365853658537e-06,1.73795731707317e-05,2.24192073170732e-05,1.61890243902439e-06,1.46234756097561e-05,4.38567073170732e-06,4.05487804878049e-07,7.22560975609756e-07,0,0,0,3.20121951219512e-08,1.875e-07,0,2.74390243902439e-07,0,5.44207317073171e-07,3.20121951219512e-08,1.99618902439024e-05,4e-06,0,4.78353658536585e-06,1.97637195121951e-05,4.98765243902439e-05,1.21951219512195e-07,0,6.82926829268293e-07,1.45121951219512e-06,0,1.82926829268293e-07,1.47865853658537e-07,1.67682926829268e-08,7.31707317073171e-08,3.6890243902439e-07,0,4.1344512195122e-05,5.79268292682927e-06,1.14329268292683e-07,9.66463414634146e-07,1.76524390243903e-06,1.67682926829268e-08,4.84756097560975e-06,5.32012195121951e-07,2.10015243902439e-05,1.28643292682927e-05,8.90243902439024e-07,2.67225609756098e-06,2.4390243902439e-07,1.02134146341463e-07,8.07926829268293e-08,4.8780487804878e-08,6.55487804878049e-08,3.17073170731707e-07,2.4390243902439e-08,1.53963414634146e-07,1.67682926829268e-08,6.55487804878049e-08,2.11890243902439e-07,2.4390243902439e-08,1.14329268292683e-07,3.20121951219512e-08,7.31707317073171e-08,8.99390243902439e-08,1.67682926829268e-08,2.53048780487805e-07,7.31707317073171e-08,4.11585365853659e-08,1.41768292682927e-07,1.58384146341463e-06,7.22560975609756e-07,6.6844512195122e-06,1.82926829268293e-07,0,0,0,0,0,0,1.82926829268293e-07,0,0.000401684451219512,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74390243902439e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,0.538698,2012-04-03 - 2014-02-17,5.85401459854015e-07,0,3.33722627737226e-06,1.23153284671533e-05,3.66423357664234e-07,2.64233576642337e-07,1.02189781021898e-08,0.000170899270072993,3.67591240875912e-06,3.2992700729927e-07,1.71240875912409e-06,2.59167883211679e-05,8.11532846715329e-06,5.83941605839416e-08,1.02189781021898e-08,0,1.91138686131387e-05,1.43065693430657e-07,1.32846715328467e-07,1.02189781021898e-08,4.40875912408759e-07,2.43065693430657e-06,0,1.60583941605839e-08,1.51678832116788e-06,1.77810218978102e-06,4.26306569343066e-05,8.21897810218978e-06,4.14890510948905e-06,3.12116788321168e-06,2.46058394160584e-05,1.46715328467153e-06,1.03868613138686e-05,4.58686131386861e-06,9.83941605839416e-07,1.06569343065693e-07,1.43065693430657e-07,0,0,0,1.02189781021898e-08,2.62773722627737e-08,8.75912408759124e-08,0,4.46715328467153e-07,1.02189781021898e-08,1.63503649635037e-07,3.35182481751825e-06,0,4.2029197080292e-06,6.50656934306569e-06,4.12963503649635e-05,4.23357664233577e-08,0,5.25547445255474e-08,7.04963503649635e-06,7.44525547445256e-07,1.64963503649635e-07,9.05109489051095e-08,2.18978102189781e-08,5.83941605839416e-08,1.97956204379562e-06,0,3.04043795620438e-05,8.13138686131387e-07,1.12408759124088e-07,6.85547445255475e-06,3.94306569343066e-06,1.32846715328467e-07,9.22481751824817e-06,1.43649635036496e-06,1.70875912408759e-05,6.52700729927007e-06,7.81021897810219e-07,2.80875912408759e-06,4.81751824817518e-08,4.81751824817518e-08,7.44525547445255e-08,0,0,0,0,0,2.47299270072993e-06,2.4963503649635e-07,0,9.63503649635037e-08,3.7956204379562e-08,1.97080291970803e-07,1.06569343065693e-07,6.42335766423358e-08,0,1.88321167883212e-07,0,4.23357664233577e-08,1.75182481751825e-07,5.95620437956204e-07,2.61313868613139e-07,5.25547445255474e-08,1.06569343065693e-07,0,0,0,1.02189781021898e-08,0,0,1.75182481751825e-07,0,0.000281029197080292,2.18978102189781e-08,6.42335766423358e-08,0,0,1.02189781021898e-08,0,1.60583941605839e-08,0,0,0,1.02189781021898e-08,0,0,2.52554744525547e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,0.60083,2012-04-03 - 2014-03-23,4.78442280945758e-07,0,2.51738525730179e-07,1.13949930458971e-05,1.07093184979138e-07,1.47176634214186e-05,0,0.000136954102920723,0,3.33796940194715e-07,1.01112656467316e-06,2.27732962447844e-05,2.61974965229485e-05,6.38386648122392e-07,0,0,1.39429763560501e-05,1.66898470097357e-07,0,0,7.98331015299026e-07,4.30598052851182e-06,0,0,0,2.05368567454798e-05,0.000113951321279555,1.83031988873435e-05,4.20584144645341e-06,1.52739916550765e-05,4.02489568845619e-05,4.35326842837274e-07,2.3442280945758e-05,4.88178025034771e-06,0,0,1.59944367176634e-07,0,0,0,4.78442280945758e-07,0,3.75521557719054e-08,0,1.01112656467316e-06,0,5.04033379694019e-06,3.45201668984701e-06,0,2.44784422809458e-06,2.89374130737135e-05,7.19318497913769e-05,0,0,0,3.99721835883171e-06,2.76773296244784e-06,1.66898470097357e-07,4.3115438108484e-08,0,0,4.7913769123783e-06,0,4.35187760778859e-06,1.39082058414468e-09,0,9.72183588317107e-07,5.40890125173853e-06,0,1.47844228094576e-06,1.21335187760779e-05,2.12865090403338e-05,0,2.78164116828929e-07,2.50069541029207e-06,0,1.66898470097357e-07,0,0,0,0,0,0,0,1.07093184979138e-07,0,0,0,0,0,0,0,2.50347705146036e-07,0,0,1.66898470097357e-07,0,0,6.38386648122392e-07,1.66898470097357e-07,0,0,0,0,0,0,1.66898470097357e-07,0,0.000184493741307371,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50347705146036e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.12795549374131e-07,0,0,0,0,0,0
