date.difference,mag.dist,date.diff,Hydrogenoanaerobacterium,Granulicatella,Coprococcus,Phascolarctobacterium,Victivallis,Dorea,Desulfosporosinus,Ruminococcus,Peptostreptococcus,Sarcina,Marvinbryantia,Subdoligranulum,Akkermansia,Veillonella,Campylobacter,Tetragenococcus,Dialister,Pantoea,Pseudomonas,Enterorhabdus,Christensenella,Collinsella,Candidatus.Arthromitus,Bacillus,Gemella,Parabacteroides,Faecalibacterium,Anaerotruncus,Streptococcus,Alistipes,Anaerostipes,Anaerosporobacter,Clostridium,Butyricimonas,Coprobacillus,Holdemania,Alkalispirillum,Macellibacteroides,Propionispora,Enterobacter,Peptococcus,Finegoldia,Escherichia,Klebsiella,Oscillibacter,Halorhodospira,Lactobacillus,Serratia,Shigella,Bilophila,Pseudobutyrivibrio,Blautia,Morganella,Providencia,Salmonella,Eubacterium,Sutterella,Peptoniphilus,Adlercreutzia,Corynebacterium,Parvimonas,Parasutterella,Tatumella,Bacteroides,Butyrivibrio,Flavonifractor,Barnesiella,Desulfovibrio,Prevotella,Roseburia,Lachnospira,Thalassospira,Pectobacterium,Acetitomaculum,Odoribacter,Mannheimia,Gordonibacter,Leuconostoc,Paludibacter,Sporobacter,Aquisalimonas,Aggregatibacter,Sporomusa,Moryella,Actinomyces,Gardnerella,Eikenella,Oribacterium,Erysipelatoclostridium,Eggerthella,Varibaculum,Oscillospira,Actinobacillus,Bifidobacterium,Haemophilus,Anaerofilum,Paenibacillus,Fusobacterium,Megasphaera,Herbaspirillum,Papillibacter,Johnsonella,Thiothrix,Lactococcus,Enorma,Porphyromonas,Dysgonomonas,Olsenella,Flavobacterium,Enterococcus,Cronobacter,Intestinimonas,Pediococcus,Shuttleworthia,Alicyclobacillus,Robinsoniella,Erwinia,Citrobacter,Chromobacterium,Weissella,Plesiomonas,Aeromonas,Anaerococcus,Candidatus.Armantifilum,Anaeroplasma,Lonsdalea,Flexibacter,Devosia,Chryseobacterium,Planifilum,Turicibacter,Natranaerovirga,Howardella,Brevundimonas,Cellvibrio,Rahnella,Hafnia,Yersinia,Francisella,Methylobacter,Rhodobacter,Dechloromarinus,Ewingella,Thermus,Nitrosomonas
371520,0.825294,2015-01-14 - 2013-11-10,0.000269,0.000152,0.008526,0.001678,6.6e-05,0.010627,9.4e-05,0.020085,0.000251,0.003534,4.1e-05,0.002921,0.007343,0.000168,2.3e-05,0.000937,0.000331000000000001,0.012262,5.9e-05,3e-06,0.00033,0.000858,2.3e-05,4.7e-05,0.000277,0.052462,0.104795,0.002593,0.0058,0.003797,0.006543,0.000433,0.099718,0.005216,0.000375,4.2e-05,0.000176,0.000187,2.3e-05,0.016243,0.000132,3.5e-05,2.4e-05,2.7e-05,0.002393,0.000105,0.001971,0.009596,3.5e-05,0.001098,0.013688,0.101119,0.004903,0.005235,0.000226,0.029223,3.8e-05,7e-06,6e-05,7e-06,3.5e-05,4e-06,8.2e-05,0.101224,0.010953,8.5e-05,0.013142,0.007818,0.000577,0.025522,0.024814,0.016746,0.006716,0.000224,0.000114,0,3e-05,0,0,6e-05,0,0,0,0,2e-05,4e-05,0,1e-05,3.5e-05,1e-05,0,0.000771,1e-05,0.000227,0,4.5e-05,1e-05,0,6e-05,9.6e-05,1.5e-05,0,0,2e-05,0,0,0,0,0,1.5e-05,0.076454,1.5e-05,0,0,0,0,0,3e-05,1e-05,0,0,0,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50976,0.539947,2015-01-14 - 2014-11-16,0.000269,0.000152,0.00229,0.000719,0.000176,0.013497,9.4e-05,0.003664,0.000297,0.002377,0.000245,0.000393,0.007137,2.7e-05,9e-06,0.000937,1.00000000000013e-06,0.014097,9e-05,9e-06,4.8e-05,0.001347,5.5e-05,3.3e-05,0.00051,0.02883,0.024132,0.003037,0.000657,0.001141,0.017057,0.000277,0.099579,0.001035,0.000375,2.3e-05,0.000176,0.000187,2.3e-05,0.001449,9.1e-05,3.5e-05,0.000378,2.3e-05,0.000277,0.000105,0.000827,0.000429,0.000121,0.000532,0.000702000000000001,0.07069,0.001571,0.005093,0.000547,0.016967,0.000325,2.3e-05,0.000517,2.3e-05,2.1e-05,6e-05,8.2e-05,0.076847,0.020422,0.000105,0.010893,0.002756,0.001081,0.02362,0.000518,0.005174,0.021587,6.99999999999995e-06,0.000314,0,0,0,1.4e-05,0,0,0,0,2.1e-05,3.5e-05,0,0,0,0,0,1.4e-05,0,1.4e-05,6.4e-05,1.4e-05,0,0,0.000134,6.4e-05,0,0,0,0,0,0.000134,5e-05,0.000163,1.4e-05,0,0,0.041159,0,0,1.4e-05,0,0.000142,5e-05,4.2e-05,0,0,0,0,0,2.1e-05,0,0,1.4e-05,1.4e-05,1.4e-05,0.008528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45792,0.798448,2015-01-14 - 2014-11-22,0.000269,0.000152,0.022038,0.000334,0.000176,0.013364,1.4e-05,0.018471,0.000617,0.002563,0.000681,0.017474,0.007378,0.000176,2.3e-05,0.000937,0.003322,0.014111,5.9e-05,2.3e-05,2.3e-05,0.001177,2.3e-05,4.7e-05,0.000609,0.056503,0.191984,0.003132,0.00321,0.004554,0.020326,0.000125,0.059062,0.006466,0.000375,2.3e-05,0.000176,0.000187,2.3e-05,0.001534,0.000105,0.001997,4.7e-05,2.3e-05,7e-05,0.000105,0.001815,0.000187,3.5e-05,0.002131,0.045189,0.055216,0.004918,0.005235,0.000281,0.028753,0.00271,4.3e-05,4.3e-05,0.002461,3.5e-05,4.2e-05,8.2e-05,0.079007,0.001787,0.000105,0.010056,0.008974,0.000592,0.07329,0.005433,0.000714,0.006862,9.6e-05,0.000562,0,0,0,0,0,0,0,0,5.3e-05,0,0,0,0,2.7e-05,0,0,0,0.000106,0.002364,0,0,6.6e-05,0,0,0,0,0,0,2.7e-05,0.000306,0,0,2.7e-05,0,0,4e-05,0,0,0,0,5.3e-05,0,0,0,0,0,0,0,0,0.002577,0,0,0,2.7e-05,0,0.001076,0.000239,0.000638,8e-05,0,0,0,0,0,0,0,0,0,0,0
690336,0.615094,2015-01-14 - 2012-11-06,9.4e-05,0.000152,0.011909,0.005317,0.000106,0.008116,9.4e-05,0.033572,0.000507,0.002259,0.001932,0.027708,0.004977,0.000187,2.3e-05,0.000937,0.003392,0.014105,2.4e-05,2.3e-05,0.000158,0.006921,2.3e-05,4.1e-05,0.000599,0.040703,0.099639,0.004203,0.005603,0.001847,0.025526,0.000388,0.057315,0.002026,0.000375,0.000114,0.000151,0.000187,2.3e-05,0.001528,0.000105,3.5e-05,4.7e-05,2.3e-05,0.000254,5.4e-05,0.012127,0.000187,3.5e-05,0.001444,0.011151,0.095213,0.004918,0.005235,0.000252,0.012006,0.000345,2.3e-05,0.000449,1.7e-05,3.5e-05,0.000551,8.2e-05,0.046145,0.006002,0.000105,0.011096,0.004191,0.000619,0.010173,0.004904,0.004694,0.006725,0.000784,0.002577,0,1.3e-05,0,0,0,0,0,0,2.5e-05,0.000137,0.000146,0,5.7e-05,0.00035,5.1e-05,1.6e-05,1e-05,3.5e-05,0.000875,6e-06,4.5e-05,0,2.9e-05,1.6e-05,5.4e-05,1.6e-05,1e-05,0,6e-06,0,0,0,0,4.8e-05,0.00015,9.2e-05,0,0,0,0,0,0,0,0,0,2.9e-05,0,0,0,0,6e-06,0,0,0,0,3.5e-05,0,0,2.2e-05,6e-06,2.5e-05,0.00467,0.002707,0,0,0,0,0,0,0
342144,0.518756,2015-01-14 - 2013-12-14,0.000206,0.000152,0.000297,0.006707,0.000259,0.006434,9.4e-05,0.027555,0.000518,0.003521,0.001335,0.002141,0.001278,0.000106,1.7e-05,0.000937,0.001712,0.01391,4.1e-05,2.3e-05,0.000265,0.000738,2.3e-05,1.4e-05,0.000513,0.032961,0.023772,0.001888,0.000412,0.00051,0.004314,0.000433,0.092083,0.002377,0.000279,0.000403,0.000146,0.000187,2.3e-05,0.001414,9.6e-05,2.3e-05,0.000325,1.7e-05,0.000188,0.000105,0.00391,0.000329,4e-06,2.09999999999998e-05,0.006458,0.029373,0.004894,0.005235,0.000152,0.007271,7e-05,1.7e-05,1.6e-05,2.3e-05,3.5e-05,0.001401,8.2e-05,0.03399,0.001515,5.1e-05,0.012042,0.00439,0.000587,0.01068,0.005893,0.017482,0.005899,0.000101,0.002005,3.6e-05,0,0,2.4e-05,5.4e-05,0,6e-06,0,0.000354,5.1e-05,0.001122,0,0,6e-06,0,0,6e-06,3e-05,9e-06,9e-06,1.8e-05,2.4e-05,8.1e-05,6e-05,0.000126,3.6e-05,0,0,0,0,2.1e-05,0,0,0,0,0.13145,6e-06,0,0,0,0,0,0,1.5e-05,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0.000522,0,0,0,0,0
24192,0.59742,2015-01-14 - 2014-12-17,0.000269,0.000142,0.00142,0.00048,0.000176,0.012872,2e-05,0.014524,0.000634,0.003213,0.000496,0.006954,0.006798,0.000252,0.000154,0.000937,0.000349,0.014111,0.003162,1.3e-05,0.000198,0.000426,1.1e-05,4.7e-05,0.000589,0.040593,0.133108,0.002184,0.004896,0.00554,0.0135,0.000369,0.10008,0.004726,0.000375,2.3e-05,0.000176,0.000187,1.3e-05,0.001534,1.6e-05,3.5e-05,4.7e-05,2.3e-05,0.000373,0.000105,0.000596,0.000187,3.5e-05,0.000779,0.02065,0.038586,0.017407,0.000863,0.000281,0.007563,0.006523,2.3e-05,0.000471,2.3e-05,3.5e-05,0.003955,8.2e-05,0.077635,0.000957,0.000105,0.012737,0.006034,0.000219,0.006882,0.001446,0.008855,0.006818,0.00066,0.000178,0,2e-05,0,3.4e-05,0,0,0,0,1e-05,0,0,0,1.5e-05,0,0,0,0,2e-05,6.4e-05,0,0,1e-05,1e-05,1e-05,0.000192,0,1e-05,0,0,4.4e-05,5.4e-05,6.4e-05,0,0,0,7.4e-05,0,0,0,0,1e-05,0,0,4.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32832,0.642997,2015-01-14 - 2014-12-07,0.000269,0.000152,0.002807,0.000631,0.000176,0.012073,7.1e-05,0.018071,0.000644,0.003319,0.000159,0.004265,0.007355,0.000242,2.3e-05,0.000891,0.003733,0.014111,0.000206,6.9e-05,5.8e-05,0.000168,2.3e-05,5.7e-05,0.000609,0.031624,0.13612,0.002069,0.000793,0.005957,0.009595,0.000224,0.095955,0.003185,0.000375,1.2e-05,0.000176,0.000187,3.5e-05,0.001534,4.7e-05,3.5e-05,2.4e-05,2.3e-05,0.000783,0.000105,0.000809,0.000164,2.3e-05,0.00107,0.000987999999999999,0.039706,0.01772,3.40000000000002e-05,0.000281,0.025678,0.006743,2.3e-05,0.000599,0,3.5e-05,0.003839,8.2e-05,0.095621,0.006257,0.000114,0.0126,0.006509,0.000113,0.01931,0.028213,0.005479,0.006816,0.001507,3.7e-05,0,0,0,4.6e-05,2.3e-05,0,0,0,2.3e-05,0,0,0,0,0,0,0,2.3e-05,0,0,0,2.3e-05,2.3e-05,0,0,8.1e-05,5.8e-05,3.5e-05,0,0,0.000115,0,0.000127,0,0,0,0.002745,0,0,0,0,0,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0,2.3e-05,0.00015,0,0,0
285984,0.594166,2015-01-14 - 2014-02-17,0.000201,0.000152,1.3e-05,0.009765,0.000327,5e-04,2.8e-05,0.015428,0.035085,0.003449,0.000389,0.005059,0.00404,1.4e-05,0.000203,0.000937,0.004967,0.013806,7e-06,2.3e-05,0.000104,0.000246,2.3e-05,4.7e-05,0.01438,0.052486,0.021713,0.00529,0.003952,0.001254,0.00136,5.6e-05,0.06763,0.001559,0.003642,9e-06,0.000176,0.000187,2.3e-05,0.001449,8.6e-05,0.000144,0.000235,2.3e-05,0.00016,0.000105,0.000808,2e-05,1.6e-05,0.002098,0.009582,0.00117,0.003631,0.005235,0.000239,0.02698,0.00575,0.00024,2.4e-05,0.000174,0.000501,0.001518,8.2e-05,0.10861,0.001714,2e-05,0.005545,0.005112,0.000247,0.015589,0.001962,0.016591,0.005603,0.000175,0.001723,0.001419,3.8e-05,0,0,0,0,9e-06,1.4e-05,0.001128,5.6e-05,1.4e-05,0.001349,9e-06,9e-06,2.8e-05,0.000761,2.8e-05,0,1.4e-05,0,9e-06,1.9e-05,0.008852,0.000324,4.2e-05,2.3e-05,0,0,0,0,5.6e-05,0,0,0,0,0.088096,2.3e-05,9e-06,0,0,0,1.9e-05,0,0,0,0,0,0.000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285984,0.649886,2015-01-14 - 2014-02-17,0.000132,0.000152,0.002261,0.011476,7.5e-05,0.013377,8.7e-05,0.089057,0.001874,0.003199,0.000951,0.003175,0.013054,1.7e-05,1.6e-05,0.000937,0.003773,0.014089,3.2e-05,1.6e-05,0.000279,0.001577,2.3e-05,3.6e-05,0.00043,0.052593,0.050109,0.007934,0.000707,0.009176,0.019976,0.00036,0.087816,0.003562,0.000299,5e-05,7.8e-05,0.000187,2.3e-05,0.001534,9.8e-05,1.7e-05,7.3e-05,2.3e-05,0.000236,9.8e-05,0.000727,0.000152,3.5e-05,0.000748,0.005914,0.037017,0.004889,0.005235,0.000245,0.02318,0.000311,1.6e-05,0.000291,8e-06,5.00000000000001e-06,0.001658,8.2e-05,0.064516,0.001426,2.8e-05,0.006923,0.003968,0.000541,0.007051,0.001105,0.010991,0.002391,0.000145,0.000964,3.3e-05,8.7e-05,5.1e-05,0,0,0,0,0,0.001694,0.000171,0,6.6e-05,2.6e-05,0.000135,2.2e-05,7.3e-05,4.4e-05,0,5.1e-05,0,2.9e-05,0,0.000408,0.000179,3.6e-05,4.7e-05,0,0,1.5e-05,0,7e-06,0,0,0,0,0.071,1.5e-05,4.4e-05,0,0,7e-06,0,1.1e-05,0,1.5e-05,0,0,7e-06,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34560,0.728553,2015-01-14 - 2015-02-23,0.000269,0.000152,0.002311,0.005666,0.000176,0.003689,1.5e-05,0.143672,0.000644,0.003056,0.000431,0.002481,0.007247,2.3e-05,2.3e-05,0.000937,0.00531,0.014111,0.00018,2.3e-05,2.3e-05,0.000307,2.3e-05,4.7e-05,0.000609,0.044967,0.142562,0.002992,0.000164,0.008956,0.012859,0.000525,0.098658,0.006509,0.000375,2.3e-05,0.000176,0.000187,2.3e-05,0.001534,0.000105,3.5e-05,4.7e-05,2.3e-05,0.000104,0.000105,0.00056,0.000143,3.5e-05,0.001826,0.006763,0.015122,0.011666,0.002667,0.000281,0.011067,0.002456,2.3e-05,1.7e-05,2.3e-05,3.5e-05,0.002712,8.2e-05,0.093647,0.003004,0.000105,0.013307,0.008802,0.00011,0.029349,0.003368,0.000322,0.006818,0.000558,0.000895,0,0,0,0,0,0,0,0,0,4.4e-05,0,0,4.4e-05,0,0,0,0,0,0,0,0,0.000239,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4e-05,0,0,0,0
