date.difference,mag.dist,date.diff,Hydrogenoanaerobacterium,Granulicatella,Coprococcus,Phascolarctobacterium,Victivallis,Dorea,Desulfosporosinus,Ruminococcus,Peptostreptococcus,Sarcina,Marvinbryantia,Subdoligranulum,Akkermansia,Veillonella,Campylobacter,Tetragenococcus,Dialister,Pantoea,Pseudomonas,Enterorhabdus,Christensenella,Collinsella,Candidatus.Arthromitus,Bacillus,Gemella,Parabacteroides,Faecalibacterium,Anaerotruncus,Streptococcus,Alistipes,Anaerostipes,Anaerosporobacter,Clostridium,Butyricimonas,Coprobacillus,Holdemania,Alkalispirillum,Macellibacteroides,Propionispora,Enterobacter,Peptococcus,Finegoldia,Escherichia,Klebsiella,Oscillibacter,Halorhodospira,Lactobacillus,Serratia,Shigella,Bilophila,Pseudobutyrivibrio,Blautia,Morganella,Providencia,Salmonella,Eubacterium,Sutterella,Peptoniphilus,Adlercreutzia,Corynebacterium,Parvimonas,Parasutterella,Tatumella,Bacteroides,Butyrivibrio,Flavonifractor,Barnesiella,Desulfovibrio,Prevotella,Roseburia,Lachnospira,Thalassospira,Pectobacterium,Acetitomaculum,Odoribacter,Mannheimia,Gordonibacter,Leuconostoc,Paludibacter,Sporobacter,Aquisalimonas,Aggregatibacter,Sporomusa,Moryella,Actinomyces,Gardnerella,Eikenella,Oribacterium,Erysipelatoclostridium,Varibaculum,Oscillospira,Actinobacillus,Bifidobacterium,Haemophilus,Anaerofilum,Paenibacillus,Fusobacterium,Megasphaera,Herbaspirillum,Papillibacter,Johnsonella,Thiothrix,Enorma,Porphyromonas,Dysgonomonas,Olsenella,Flavobacterium,Enterococcus,Cronobacter,Intestinimonas,Pediococcus,Shuttleworthia,Alicyclobacillus,Robinsoniella,Erwinia,Citrobacter,Chromobacterium,Plesiomonas,Aeromonas,Anaerococcus,Candidatus.Armantifilum,Flexibacter,Devosia,Chryseobacterium,Planifilum,Turicibacter,Anaeroplasma,Natranaerovirga,Howardella,Brevundimonas,Cellvibrio,Lonsdalea,Rahnella,Hafnia,Yersinia,Francisella,Methylobacter,Rhodobacter,Dechloromarinus,Ewingella,Thermus,Nitrosomonas,image_paths
467,0.715959,2012-04-03 - 2013-07-14,0.0,0.0,0.001145,0.006248,1.8e-05,0.000424,0.0,0.012066,0.000703,5e-05,8.8e-05,0.018302,0.025833,9.7e-05,0.0,0.0,0.014598,0.00012,0.0,0.0,0.000703,0.00245,0.0,0.0,0.000835,0.006292,0.103507,0.015779,0.002948,0.013513,0.018161,0.000594,0.019095,0.001747,0.0,4.4e-05,0.0,0.0,0.0,0.0,0.000185,0.0,1.3e-05,0.0,0.001231,0.0,0.015128,0.0026,0.0,0.001433,0.003493,0.020667,0.0,0.0,6.2e-05,0.092839,0.002216,0.00012,0.000273,0.000114,5.3e-05,7.6e-05,0.0,0.010457,0.006436,3.5e-05,0.000537,0.005346,0.000185,0.036719,0.035513,0.007561,0.000141,0.000211,0.001424,1.8e-05,6.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.0,0.0,0.0,0.0,0.0,0.000229,0.0,0.00011,0.0,3.5e-05,0.00012,3.5e-05,1.8e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,1.8e-05,0.204363,0.0,0.0,0.0,0.0,1.8e-05,0.0,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-07-14.png
494,0.627268,2012-04-03 - 2013-08-10,0.0,0.0,0.000889,0.003382,0.000207,0.00319,0.0,0.030668,0.000146,0.000898,0.000464,0.020324,0.025906,8e-06,0.0,0.0,0.004239,0.000169,0.0,4.1e-05,0.000707,0.000613,0.0,8e-06,0.00015,0.008458,0.162894,0.014411,0.00277,0.018834,0.006523,0.001062,0.014054,0.001521,0.0,0.000134,0.0,0.0,0.0,0.0,0.000199,8e-06,8.2e-05,0.0,0.003655,0.0,0.002879,0.001813,6.5e-05,0.001504,0.004205,0.045743,0.0,0.0,0.000268,0.005638,0.000244,0.00012,0.000238,4.9e-05,2.8e-05,0.000207,0.0,0.008822,0.042939,6.1e-05,0.003755,0.007537,0.000285,0.000681,0.00902,0.001887,0.000207,0.000651,0.000748,1.6e-05,5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.8e-05,4.9e-05,0.0,0.0,7.7e-05,0.000126,0.0,0.001691,4.5e-05,0.000544,5.3e-05,8e-06,0.000112,3.3e-05,0.0,0.000614,8.7e-05,0.0,0.0,0.0,8e-06,0.0,0.0,0.00012,0.0,0.156946,8e-06,0.000122,8e-06,0.0,8e-06,0.0,2e-05,0.0,0.0,0.0,1.6e-05,0.0,8e-06,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-08-10.png
518,0.562961,2012-04-03 - 2013-09-03,0.0,0.0,0.000876,0.001851,0.000361,0.003758,0.0,0.006096,0.000106,9.8e-05,0.000546,0.017939,0.025829,0.000333,0.0,0.0,0.003318,7e-05,7.9e-05,0.0,0.000449,0.002395,0.0,3.7e-05,8.3e-05,0.010133,0.064822,0.015935,0.003607,0.015119,0.029078,0.001078,0.015733,0.001574,0.0,0.000134,0.0,0.0,0.0,0.0,0.000199,0.0,2.4e-05,2.3e-05,0.002854,0.0,0.012409,0.002732,6e-05,0.001268,0.006194,0.003574,0.0,0.0,0.00012,0.061236,0.000116,0.00012,0.000248,6.9e-05,0.0,0.000354,9e-06,0.01252,0.003493,9.3e-05,0.001645,0.005638,3.2e-05,0.026949,0.030374,0.031996,9e-06,0.000344,0.00093,3.7e-05,0.00012,0.0,0.0,4.2e-05,0.0,0.0,0.0,3.7e-05,0.0,0.000264,0.0,9e-06,4.6e-05,0.0,0.00056,4.6e-05,0.000121,0.0,8.3e-05,8.8e-05,9e-06,1.4e-05,0.000375,0.000111,0.0,0.0,0.0,9e-06,0.0,0.0,0.00012,0.0,0.133388,1.4e-05,1.9e-05,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.0,0.0,4.2e-05,0.0,0.0,0.00018,0.000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.0,0.0,./imgs/2012-04-03 - 2013-09-03.png
539,0.611308,2012-04-03 - 2013-09-24,0.0,0.0,4.8e-05,0.003147,0.000382,0.000529,3.2e-05,0.011354,0.000149,6e-05,0.000456,0.019955,0.025927,0.000191,0.0,0.0,0.006368,0.024762,1.1e-05,0.0,0.000579,0.001056,0.0,2.1e-05,0.000159,0.001794,0.10614,0.015807,0.001643,0.016858,0.027638,0.001078,0.018181,0.001947,0.0,0.000154,0.0,0.0,0.0,0.000149,0.000308,0.0,0.000192,4.2e-05,0.00147,0.0,0.000848,0.002449,3.2e-05,0.000812,0.00058,0.031295,0.0,0.0,0.000111,0.009229,8e-05,8.3e-05,0.000299,0.0,0.0,0.000144,0.0,0.022242,0.046625,4.8e-05,0.001915,0.006172,2.7e-05,0.01132,0.057713,0.006544,0.000186,0.000643,0.000807,0.0,0.00012,0.0,0.0,0.000106,0.0,0.0,0.0,3.2e-05,2.1e-05,4.8e-05,0.0,2.1e-05,0.000133,0.0,0.000658,9.6e-05,0.000537,0.0,7.4e-05,0.00012,1.1e-05,0.0,0.000435,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000109,3.7e-05,0.119685,0.0,2.1e-05,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-09-24.png
572,0.822889,2012-04-03 - 2013-10-27,0.0,0.0,0.005938,0.001723,0.000123,0.01046,0.0,0.019345,0.013285,6.7e-05,0.000185,0.018306,0.025975,0.000136,8e-06,0.0,0.004727,0.000122,0.000185,8e-06,0.000551,0.002102,0.0,2.5e-05,0.004799,0.00676,0.094704,0.015678,0.00299,0.016972,0.017619,0.001078,0.015383,0.002024,2.1e-05,0.000193,0.0,0.0,0.0,5.3e-05,0.00014,2.5e-05,5e-05,0.000999,0.003608,1.2e-05,0.000496,0.094208,2.1e-05,0.00277,0.033643,0.004307,3.7e-05,0.0,5.3e-05,0.013426,0.000251,0.00251,0.000196,5.8e-05,0.000263,0.000411,0.0,0.025541,0.007125,0.000242,0.006344,0.00611,2.9e-05,0.007494,0.041115,0.016453,0.000201,0.000659,0.000678,7e-05,4.6e-05,0.0,0.0,0.000156,2.5e-05,0.0,0.0,2.5e-05,7.8e-05,1.6e-05,2.5e-05,8e-06,4.9e-05,0.000859,0.002334,0.0,0.000214,8e-06,0.000205,8.3e-05,0.000152,8.6e-05,0.000596,0.000112,1.2e-05,2.9e-05,1.6e-05,3.3e-05,0.0,0.0,0.00012,1.6e-05,0.263456,3.3e-05,0.000251,8e-06,0.0,0.0,0.0,2.9e-05,8e-06,0.0,0.0,0.002523,0.0,8e-06,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-10-27.png
586,0.682958,2012-04-03 - 2013-11-10,0.0,0.0,0.003979,0.001362,0.000242,0.002569,0.0,0.007924,0.000393,0.000109,0.000181,0.018007,0.025956,0.000191,0.0,0.0,0.009651,0.001729,0.0,2e-05,0.000353,0.002384,0.0,0.0,0.000332,0.001349,0.083888,0.016157,0.002251,0.015111,0.030288,0.001078,0.019017,0.001488,0.0,6.5e-05,0.0,0.0,0.0,0.017777,0.000237,0.0,0.000109,5e-05,0.002463,0.0,0.002586,0.007148,0.0,0.001033,0.024059,0.035814,1.5e-05,0.0,5.5e-05,0.047574,0.000237,9e-05,0.000289,3e-05,0.0,0.000298,0.0,0.015881,0.011822,2e-05,0.001523,0.006551,5.5e-05,0.026254,0.026903,0.01746,0.000146,0.000614,0.000846,0.0,9e-05,0.0,0.0,6e-05,0.0,0.0,0.0,0.0,2e-05,4e-05,0.0,1e-05,3.5e-05,0.0,0.000771,1e-05,4.7e-05,0.0,4.5e-05,0.00011,0.0,6e-05,9.6e-05,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,1.5e-05,0.187051,1.5e-05,0.0,0.0,0.0,0.0,0.0,3e-05,1e-05,0.0,0.0,2.5e-05,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-11-10.png
620,0.478102,2012-04-03 - 2013-12-14,6.3e-05,0.0,0.004844,0.003667,0.000435,0.006762,0.0,0.000454,0.000126,9.6e-05,0.001557,0.018787,0.019891,0.000129,6e-06,0.0,0.011032,8.1e-05,1.8e-05,0.0,0.000288,0.002504,0.0,3.3e-05,9.6e-05,0.02085,0.002865,0.011676,0.003137,0.010804,0.032517,0.001078,0.011382,0.004327,9.6e-05,0.000426,3e-05,0.0,0.0,0.00012,9e-06,1.2e-05,0.000192,6e-06,0.000258,0.0,0.004525,0.002119,3.9e-05,0.002152,0.016829,0.035932,2.4e-05,0.0,0.000129,0.01108,0.000129,0.000114,0.000245,0.0,0.0,0.001099,0.0,0.051353,0.000646,5.4e-05,0.000423,0.003123,4.5e-05,0.011412,0.007982,0.018196,0.000963,0.000491,0.002965,3.6e-05,0.00012,0.0,2.4e-05,5.4e-05,0.0,6e-06,0.0,0.000354,5.1e-05,0.001122,0.0,0.0,6e-06,0.0,6e-06,3e-05,0.000171,9e-06,1.8e-05,9.6e-05,8.1e-05,6e-05,0.000126,8.4e-05,0.0,0.0,0.0,2.1e-05,0.0,0.0,0.00012,0.0,0.132055,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.000522,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2013-12-14.png
656,0.608249,2012-04-03 - 2014-01-19,0.0,0.0,0.01556,0.003277,0.000224,0.006053,0.0,0.016991,0.006398,0.000698,0.001939,0.018683,0.023827,9.1e-05,7.5e-05,0.0,0.003404,0.011073,2.1e-05,0.0,0.000416,0.003008,0.0,3.2e-05,0.001657,0.025526,0.019671,0.006842,0.00302,0.011401,0.014707,0.001062,0.009593,0.002877,0.000266,0.000474,0.0,0.0,0.0,2.1e-05,0.000123,0.0,0.00018,0.0,0.000357,2.1e-05,0.013095,0.002624,0.0,0.003138,0.012965,0.032719,8e-05,0.0,0.000448,0.000952,0.0,0.00012,9.7e-05,1.1e-05,4.8e-05,0.000242,0.0,0.027122,0.0038,7.5e-05,0.000634,0.001158,1.1e-05,0.00318,0.000349,0.013777,0.008439,0.000584,0.001753,0.00016,6.7e-05,5.3e-05,3.2e-05,4.3e-05,0.000208,1.6e-05,0.000101,1.1e-05,4.3e-05,0.000139,1.6e-05,7.5e-05,2.1e-05,4.8e-05,5.9e-05,1.1e-05,0.000166,4.8e-05,2.7e-05,9.3e-05,0.001039,0.000474,0.004385,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.263505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2014-01-19.png
685,0.538698,2012-04-03 - 2014-02-17,0.000401,0.0,0.002286,0.008436,0.000251,0.000181,7e-06,0.117066,0.002518,0.000226,0.001173,0.017753,0.005559,4e-05,7e-06,0.0,0.013093,9.8e-05,9.1e-05,7e-06,0.000302,0.001665,0.0,1.1e-05,0.001039,0.001218,0.029202,0.00563,0.002842,0.002138,0.016855,0.001005,0.007115,0.003142,0.000674,7.3e-05,9.8e-05,0.0,0.0,0.0,7e-06,1.8e-05,6e-05,0.0,0.000306,7e-06,0.000112,0.002296,0.0,0.002879,0.004457,0.028288,2.9e-05,0.0,3.6e-05,0.004829,0.00051,0.000113,6.2e-05,1.5e-05,4e-05,0.001356,0.0,0.020827,0.000557,7.7e-05,0.004696,0.002701,9.1e-05,0.006319,0.000984,0.011705,0.004471,0.000535,0.001924,3.3e-05,3.3e-05,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.001694,0.000171,0.0,6.6e-05,2.6e-05,0.000135,7.3e-05,4.4e-05,0.0,0.000129,0.0,2.9e-05,0.00012,0.000408,0.000179,3.6e-05,7.3e-05,0.0,0.0,0.0,7e-06,0.0,0.0,0.00012,0.0,0.192505,1.5e-05,4.4e-05,0.0,0.0,7e-06,0.0,1.1e-05,0.0,0.0,0.0,7e-06,0.0,0.0,0.000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2014-02-17.png
719,0.60083,2012-04-03 - 2014-03-23,0.000344,0.0,0.000181,0.008193,7.7e-05,0.010582,0.0,0.09847,0.0,0.00024,0.000727,0.016374,0.018836,0.000459,0.0,0.0,0.010025,0.00012,0.0,0.0,0.000574,0.003096,0.0,0.0,0.0,0.014766,0.081931,0.01316,0.003024,0.010982,0.028939,0.000313,0.016855,0.00351,0.0,0.0,0.000115,0.0,0.0,0.0,0.000344,0.0,2.7e-05,0.0,0.000727,0.0,0.003624,0.002482,0.0,0.00176,0.020806,0.051719,0.0,0.0,0.0,0.002874,0.00199,0.00012,3.1e-05,0.0,0.0,0.003445,0.0,0.003129,1e-06,0.0,0.000699,0.003889,0.0,0.001063,0.008724,0.015305,0.0,0.0002,0.001798,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.00012,0.0,0.0,0.000459,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.132651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153,0.0,0.0,0.0,0.0,0.0,0.0,./imgs/2012-04-03 - 2014-03-23.png
